route,saccos
04SK,Umoinner Sacco Ltd|Umoja Innercore Tena Matatu Owners Savings And Credit Co-Operative Society Ltd|Salty Supporters Investment Limited
1,Dakabo Sacco Limited
10,Embassava Cooperative Savings And Credit Society Ltd|Gikimwi Bypass Transporters Sacco|Libera Impex Limited
100,Bakaki 101 Travellers Savings And Credit Co-Operative Society Limited|Kiambu Marafiki Sacco Ltd|Latema 22 Travellers Sacco
100A,Bakaki 101 Travellers Savings And Credit Co-Operative Society Limited|Risen Company Limited|Rwaken Investments Limited
102,Super Metro|Kadana Travellers Savings And Credit Co-Operative Society Limited|Dakika Matatu Owners Sacco
103,Benjo( K) Ltd|Digital Luxury Travellers Limited|Eastern Bypass Savings And Credit Co-Operative Society Limited
105,Latema 22 Travellers Sacco|Cosy Travel Limited|Starbus Company (K) Ltd
106,Gmk Sacco Limited|Kiambu Marafiki Sacco Ltd|Prime  Transcity Limited
107,Gmk Sacco Limited|Tawala Shuttle Limited|Lopha Multipurpose Co-Operative Society
107D,Meruit Logistics Limited|Sony Classic Shuttle East Africa Limited|Bakaki 101 Travellers Savings And Credit Co-Operative Society Limited
108,Bakaki 101 Travellers Savings And Credit Co-Operative Society Limited|Eastern Bypass Savings And Credit Co-Operative Society Limited
11,KBS|South B Matatu Owners Sacco Society Ltd|Telaviv Travellers Limited
110,Embassava|Indima (Nje) Sacco|Benjo( K) Ltd
110AK,Nakam Sacco Society Limited
110ATH,Benjo( K) Ltd|County Link Savings And Credit Co-Operative Society Ltd|Eastern Bypass Savings And Credit Co-Operative Society Limited
111,Kibera Bureti Sacco|Kibera Matatu Owners Cooperative Savings And Credit Society Limited
114R,Likambu Matatu Savings And Credit Co-Operative Society Limited|Bakaki 101 Travellers Savings And Credit Co-Operative Society Limited|Gmk Sacco Limited
114W,Forward Travellers Sacco Ltd|Kariobangi Matatu Owners Savings And Credit Co-Operative Society Limited|2Kr Route 105 Multipurpose Cooperative Society Limited
115,Forward Travellers Sacco Ltd|Integrity Intercity Limited|Kariobangi Matatu Owners Savings And Credit Co-Operative Society Limited
116,Likambu Matatu Savings And Credit Co-Operative Society Limited|Bakaki 101 Travellers Savings And Credit Co-Operative Society Limited|Eastern Kubamba Limited
118,Bakaki 101 Travellers Savings And Credit Co-Operative Society Limited|Home Sacco Limited|Walokana Multipurpose Co-Operative Society Ltd
119,KBS|Ongata Line|Nicco Movers
119A,Transworld Transport Savings And Credit Co-Operative Society Ltd|Bakaki 101 Travellers Savings And Credit Co-Operative Society Limited|Bybuss Trans Limited
11A,Gmk Sacco Limited
11C,Naboka Travellers Sacco|Aldana Travellers Sacco|Baba Dogo 25 Travellers Sacco
11F,Gmk Sacco Limited|8B Savings And Credit Co-Operative Society Ltd|Baba Dogo 25 Travellers Sacco
11_2,Telaviv Travellers Limited|Arbab Ventures Limited|County Link Savings And Credit Co-Operative Society Ltd
120,Tikagi Savings And Credit Cooperative Society Limited|Githiga Travellers Sacco|Likambu Matatu Savings And Credit Co-Operative Society Limited
121,Bakaki 101 Travellers Savings And Credit Co-Operative Society Limited|Risen Company Limited|Rwaken Investments Limited
125,Ongata Line|Fastrack United And Credit Cooperative Society|Matatu Crew Association Sacco
126,Ongata Line|Fastrack United And Credit Cooperative Society|Lankana Sacco Society Limited
126N,Emaar City Bus Limited|Luminous Shuttles Limited|Nailepu Travellers Sacco
126RK,Bybuss Trans Limited|Expreso Limited|Fastrack United And Credit Cooperative Society
129,Benjo( K) Ltd|Eastern Bypass Savings And Credit Co-Operative Society Limited|Kiwaliru Savings And Credit Co-Operative Society Limited
12C,Eastern Kubamba Limited|Naboka Travellers Sacco
12D,Eastern Kubamba Limited|Naboka Travellers Sacco|Ngong Travellers Sacco
135,Forward Travellers Sacco Ltd|Kariobangi Matatu Owners Savings And Credit Co-Operative Society Limited|2Kr Route 105 Multipurpose Cooperative Society Limited
14,Kariobangi Matatu Owners Savings And Credit Co-Operative Society Limited|Neema Travellers Agency Limited|Benjo( K) Ltd
145,KBS|Super Metro|Forward Travellers
145B,Meruit Logistics Limited|Circular Classic Company Limited|Expreso Limited
145D,Forward Travellers Sacco Ltd|Jonsaga Flats Sacco|Libera Impex Limited
14A,Kenya Bus Service Management Limited|Metrotrans East Africa Limited|Nazigi Sacco Limited
14B,Metrotrans East Africa Limited|Rwaken Investments Limited
15,Kenya Bus Service Management Limited|St. Marys Transport Sacco Society|West Madaraka Route 14 Cooperative Sacco.
16,Highrise Kibera Sacco|Kenya Bus Service Management Limited|Metrotrans East Africa Limited
16/62,Eastern Bypass Traverlers Investment Co. Limited|8B Savings And Credit Co-Operative Society Ltd|Benjo( K) Ltd
17A,Dandora Usafiri Travellers Sacco|Dix-Hult Matatu Owner Sacco|Ecosa Travellers Sacco
17Aky,Dix-Hult Matatu Owner Sacco|Forward Travellers Sacco Ltd|Pinpoint Solution (K) Ltd
17B,Forward Travellers|Eastleigh Commuters|MSL (Mwiki Sacco)
18C,Circular Classic Company Limited|Cbet Sacco|County Link Savings And Credit Co-Operative Society Ltd
1960,Forward Travellers Sacco Ltd|Kani Transport Savings And Credit Co-Operative Society Limited|Pinpoint Solution (K) Ltd
1961K,Forward Travellers Sacco Ltd|Kani Transport Savings And Credit Co-Operative Society Limited|Pinpoint Solution (K) Ltd
1961Kd,Five Friends Investment Company Limited
19C2,Jonsaga Flats Sacco|Risen Company Limited
19Cdc,Umoinner Sacco Ltd|Umoja Innercore Tena Matatu Owners Savings And Credit Co-Operative Society Ltd
