route_id,direction,sequence,stage_id
70401000111,out,0,0712KRY
70401000111,out,1,0701NDL
70401000111,out,2,0701NYI
70401000111,out,3,0701KDF
70401000111,out,4,0701PPT
70401000111,out,5,0701DBO
70401000111,out,6,0701SHS
70401000111,out,7,0701AIU
70401000111,out,8,0701RHP
70401000111,out,9,0701SHK
70401000111,out,10,0701KRD
70401000111,out,11,0701FRK
70401000111,out,12,0701DCT
70401000111,out,13,0703DGT
70401000111,in,0,0703DGT
70401000111,in,1,0700DCR
70401000111,in,2,0700HVE
70401000111,in,3,0700KEH
70401000111,in,4,0700FMK
70401000111,in,5,0700RPR
70401000111,in,6,0700AIV
70401000111,in,7,0710SHO
70401000111,in,8,0700DBS
70401000111,in,9,0700KDN
70401000111,in,10,0700NYA
70401000111,in,11,0700NYM
70401000111,in,12,0712KTR
70601000211,out,0,0712RWY
70601000211,out,1,0711NAT
70601000211,out,2,0712KNT
70601000211,out,3,0711MCP
70601000211,out,4,0711UCN
70601000211,out,5,0711NKP
70601000211,out,6,0711MTL
70601000211,out,7,0711AAD
70601000211,out,8,0701PSA
70601000211,out,9,0711PST
70601000211,out,10,0711IMP
70601000211,out,11,0711JKR
70601000211,out,12,0711NKJ
70601000211,out,13,0702DCS
70601000211,out,14,0701DCR
70601000211,out,15,0701KJI
70601000211,out,16,0711SGO
70601000211,out,17,0711MLK
70601000211,out,18,0701BPP
70601000211,out,19,0701PBG
70601000211,out,20,0701KRE
70601000211,out,21,0711KNG
70601000211,out,22,0701BMK
70601000211,out,23,0711MTE
70601000211,out,24,0701WTK
70601000211,out,25,0701MUT
70601000211,out,26,0701GCU
70601000211,out,27,0711RSS
70601000211,out,28,0701DGM
70601000211,out,29,0713DMM
70601000211,in,0,0701KPC
70601000211,in,1,0700AMD
70601000211,in,2,0700SPC
70601000211,in,3,0700KPG
70601000211,in,4,0700GCP
70601000211,in,5,0700MRT
70601000211,in,6,0700WTA
70601000211,in,7,0700MTM
70601000211,in,8,0700NPS
70601000211,in,9,0710MIH
70601000211,in,10,0700BMY
70601000211,in,11,0710KWN
70601000211,in,12,0700AIC
70601000211,in,13,0700KEQ
70601000211,in,14,0700PBG
70601000211,in,15,0710DCD
70601000211,in,16,0700BPS
70601000211,in,17,0700MSK
70601000211,in,18,0710SIN
70601000211,in,19,0710KYJ
70601000211,in,20,0700DCT
70601000211,in,21,0700RIR
70601000211,in,22,0710KJS
70601000211,in,23,0700TBK
70601000211,in,24,0702KDC
70601000211,in,25,0710NKT
70601000211,in,26,0710BBT
70601000211,in,27,0710IMJ
70601000211,in,28,0710POD
70601000211,in,29,0710ADC
70601000211,in,30,0710KRD
70601000211,in,31,0710TTL
70601000211,in,32,0700BMC
70601000211,in,33,0710CCT
70601000211,in,34,0710CME
70601000211,in,35,0712KNH
70601000211,in,36,0710TNA
70601000211,in,37,0700NHF
70601000211,in,38,0510AGP
70601000211,in,39,0712RLA
70301000511,out,0,0412KNC
70301000511,out,1,0611GPO
70301000511,out,2,0611SRN
70301000511,out,3,0611VRP
70301000511,out,4,0711MCP
70301000511,out,5,0711UCN
70301000511,out,6,0711NKP
70301000511,out,7,0711MTL
70301000511,out,8,0711AAD
70301000511,out,9,0701ADA
70301000511,out,10,0701WNK
70301000511,out,11,0701WOO
70301000511,out,12,0701NWT
70301000511,out,13,0701NPC
70301000511,out,14,0701TGA
70301000511,in,0,0701ELM
70301000511,in,1,0701JSC
70301000511,in,2,0710JSS
70301000511,in,3,0700JPS
70301000511,in,4,0710IMJ
70301000511,in,5,0710POD
70301000511,in,6,0710ADC
70301000511,in,7,0710KRD
70301000511,in,8,0600YAY
70301000511,in,9,0600CHK
70301000511,in,10,0610RMX
70301000511,in,11,0610NWH
70301000511,in,12,0610HUL
70301000511,in,13,0600DOD
70301000511,in,14,0600VRP
70301000511,in,15,0610PNF
70301000511,in,16,0610SER
70301000511,in,17,0610GPO
70301000511,in,18,0610INM
70301000511,in,19,0412AMB
20702000611,out,0,0212KJT
20702000611,out,1,0211NGR
20702000611,out,2,0211PIO
20702000611,out,3,0201PGF
20702000611,out,4,0201CAL
20702000611,out,5,0211GNK
20702000611,out,6,0311PGP
20702000611,out,7,0311PGG
20702000611,out,8,0301MBP
20702000611,out,9,0301MLG
20702000611,out,10,0301SNT
20702000611,out,11,0313EST
20702000611,in,0,0313EST
20702000611,in,1,0310SNT
20702000611,in,2,0300MLG
20702000611,in,3,0310PGG
20702000611,in,4,0310PGP
20702000611,in,5,0200GNK
20702000611,in,6,0210NGR
20702000611,in,7,0210FIG
20702000611,in,8,0212KJT
30100000711,out,0,0202LUT
30100000711,out,1,0301KDC
30100000711,out,2,0201RZA
30100000711,out,3,0303GKM
30100000711,in,0,0300GKM
30100000711,in,1,0303GKM
30100000711,in,2,0200EQY
30100000711,in,3,0410SVA
30100000711,in,4,0412TWN
70200000811,out,0,0712RWY
70200000811,out,1,0711NAT
70200000811,out,2,0712KNT
70200000811,out,3,0711MCP
70200000811,out,4,0701UCN
70200000811,out,5,0701ROS
70200000811,out,6,0701PKA
70200000811,out,7,0701NSC
70200000811,out,8,0701KBG
70200000811,out,9,0701MGJ
70200000811,out,10,0701ADC
70200000811,out,11,0701MKA
70200000811,out,12,0701NJR
70200000811,out,13,0701SSR
70200000811,out,14,0701KAR
70200000811,out,15,0701FJE
70200000811,out,16,0701OLY
70200000811,out,17,0711OLI
70200000811,out,18,0703EQY
70200000811,in,0,0703EQY
70200000811,in,1,0710OLS
70200000811,in,2,0700OLM
70200000811,in,3,0700FJS
70200000811,in,4,0700KRA
70200000811,in,5,0700TON
70200000811,in,6,0700MOG
70200000811,in,7,0710TTL
70200000811,in,8,0700BMC
70200000811,in,9,0710CCT
70200000811,in,10,0710CME
70200000811,in,11,0712KNH
70200000811,in,12,0710NAQ
70200000811,in,13,0710TNA
70200000811,in,14,0700NHF
70200000811,in,15,0510AGP
70200000811,in,16,0712RLA
40401001011,out,0,0412MTW
40401001011,out,1,0411CST
40401001011,out,2,0411SMY
40401001011,out,3,0411MZW
40401001011,out,4,0401RKN
40401001011,out,5,0411CAR
40401001011,out,6,0411PST
40401001011,out,7,0401UJR
40401001011,out,8,0401KOT
40401001011,out,9,0401PS1
40401001011,out,10,0401FDS
40401001011,out,11,0401HDH
40401001011,out,12,0401N10
40401001011,out,13,0401JUC
40401001011,out,14,0401LUM
40401001011,out,15,0401LHS
40401001011,out,16,0403LMS
40401001011,in,0,0403LMS
40401001011,in,1,0400N10
40401001011,in,2,0400HDH
40401001011,in,3,0400FDS
40401001011,in,4,0400PS1
40401001011,in,5,0400KOT
40401001011,in,6,0410MKD
40401001011,in,7,0410DCJ
40401001011,in,8,0400UJR
40401001011,in,9,0410PST
40401001011,in,10,0412CAR
40401001011,in,11,0400MKG
40401001011,in,12,0400MZW
40401001011,in,13,0410KLL
40401001011,in,14,0410CST
40401001011,in,15,0412MTW
50100001111,out,0,0512BST
50100001111,out,1,0501KBL
50100001111,out,2,0501KAB
50100001111,out,3,0511IND
50100001111,out,4,0501INR
50100001111,out,5,0511MCH
50100001111,out,6,0511CNG
50100001111,out,7,0501BAN
50100001111,out,8,0501DAR
50100001111,out,9,0511MAT
50100001111,out,10,0511MAK
50100001111,out,11,0511MER
50100001111,out,12,0501MKN
50100001111,out,13,0501SGC
50100001111,out,14,0501KPT
50100001111,out,15,0501MCU
50100001111,out,16,0511MCU
50100001111,out,17,0511KRU
50100001111,out,18,0511PLV
50100001111,out,19,0501GTH
50100001111,out,20,0501SRI
50100001111,out,21,0501MSA
50100001111,out,22,0501SNA
50100001111,out,23,0501BAL
50100001111,out,24,0501OLS
50100001111,out,25,0501HAZ
50100001111,out,26,0503HZM
50100001111,in,0,0500HZS
50100001111,in,1,0500HAZ
50100001111,in,2,0500OLS
50100001111,in,3,0500BAL
50100001111,in,4,0500PLV
50100001111,in,5,0500PVE
50100001111,in,6,0500SNA
50100001111,in,7,0510MSA
50100001111,in,8,0510KPT
50100001111,in,9,0510MCU
50100001111,in,10,0510SMC
50100001111,in,11,0500VUM
50100001111,in,12,0500TAB
50100001111,in,13,0500MAR
50100001111,in,14,0510ARK
50100001111,in,15,0500KOB
50100001111,in,16,0510VCT
50100001111,in,17,0510CNG
50100001111,in,18,0500MCH
50100001111,in,19,0510NWT
50100001111,in,20,0500MAT
50100001111,in,21,0510KAB
50100001111,in,22,0510AGP
50100001111,in,23,0512BST
30800001411,out,0,0212KRT
30800001411,out,1,0201KRK
30800001411,out,2,0311PGG
30800001411,out,3,0301MBP
30800001411,out,4,0301MLG
30800001411,out,5,0301KMB
30800001411,out,6,0301SNT
30800001411,out,7,0301ALB
30800001411,out,8,0301MAP
30800001411,out,9,0301BHS
30800001411,out,10,0311AGP
30800001411,out,11,0311TEN
30800001411,out,12,0311THY
30800001411,out,13,0311CHF
30800001411,out,14,0301BAS
30800001411,out,15,0301FLT
30800001411,out,16,0311JSG
30800001411,out,17,0301MTS
30800001411,out,18,0303KST
30800001411,in,0,0303KST
30800001411,in,1,0300JAS
30800001411,in,2,0310JST
30800001411,in,3,0310FLT
30800001411,in,4,0300BAS
30800001411,in,5,0310CHF
30800001411,in,6,0310TEN
30800001411,in,7,0310FRC
30800001411,in,8,0310JAY
30800001411,in,9,0310SNT
30800001411,in,10,0300MLG
30800001411,in,11,0310PGG
30800001411,in,12,0210KRK
30800001411,in,13,0212KRT
50204001511,out,0,0512BSL
50204001511,out,1,0511NYS
50204001511,out,2,0511MAD
50204001511,out,3,0501WIL
50204001511,out,4,0501AMR
50204001511,out,5,0501DME
50204001511,out,6,0501UCH
50204001511,out,7,0511LGT
50204001511,out,8,0511BRK
50204001511,out,9,0501PCA
50204001511,out,10,0501CHF
50204001511,out,11,0511OTD
50204001511,out,12,0501KND
50204001511,out,13,0501MSQ
50204001511,out,14,0513LNT
50204001511,in,0,0510OTD
50204001511,in,1,0500LNP
50204001511,in,2,0500PCA
50204001511,in,3,0500MBK
50204001511,in,4,0500SPM
50204001511,in,5,0500MUG
50204001511,in,6,0500TAC
50204001511,in,7,0510CIV
50204001511,in,8,0500SLE
50204001511,in,9,0500MAS
50204001511,in,10,0500PHG
50204001511,in,11,0500EQT
50204001511,in,12,0500OIL
50204001511,in,13,0500LHP
50204001511,in,14,0510HQS
50204001511,in,15,0510KAS
50204001511,in,16,0510CAN
50204001511,in,17,0500DMS
50204001511,in,18,0510AMR
50204001511,in,19,0510LGP
50204001511,in,20,0510WIL
50204001511,in,21,0510TML
