route_id,number,saccos
4070500SK11,04SK,Umoinner Sacco Ltd|Umoja Innercore Tena Matatu Owners Savings And Credit Co-Operative Society Ltd|Salty Supporters Investment Limited
70401000111,1,Dakabo Sacco Limited
40401001011,10,Embassava Cooperative Savings And Credit Society Ltd|Gikimwi Bypass Transporters Sacco|Libera Impex Limited
20100010011,100,Bakaki 101 Travellers Savings And Credit Co-Operative Society Limited|Kiambu Marafiki Sacco Ltd|Latema 22 Travellers Sacco
20100100A11,100A,Bakaki 101 Travellers Savings And Credit Co-Operative Society Limited|Risen Company Limited|Rwaken Investments Limited
70600010211,102,Super Metro|Kadana Travellers Savings And Credit Co-Operative Society Limited|Dakika Matatu Owners Sacco
70000010311,103,Benjo( K) Ltd|Digital Luxury Travellers Limited|Eastern Bypass Savings And Credit Co-Operative Society Limited
80500010511,105,Latema 22 Travellers Sacco|Cosy Travel Limited|Starbus Company (K) Ltd
10300106011,106,Gmk Sacco Limited|Kiambu Marafiki Sacco Ltd|Prime  Transcity Limited
10400010711,107,Gmk Sacco Limited|Tawala Shuttle Limited|Lopha Multipurpose Co-Operative Society
10000107D11,107D,Meruit Logistics Limited|Sony Classic Shuttle East Africa Limited|Bakaki 101 Travellers Savings And Credit Co-Operative Society Limited
10200010811,108,Bakaki 101 Travellers Savings And Credit Co-Operative Society Limited|Eastern Bypass Savings And Credit Co-Operative Society Limited
50100001111,11,KBS|South B Matatu Owners Sacco Society Ltd|Telaviv Travellers Limited
50800011011,110,Embassava|Indima (Nje) Sacco|Benjo( K) Ltd
50901011012,110AK,Nakam Sacco Society Limited
50901011011,110ATH,Benjo( K) Ltd|County Link Savings And Credit Co-Operative Society Ltd|Eastern Bypass Savings And Credit Co-Operative Society Limited
70400011111,111,Kibera Bureti Sacco|Kibera Matatu Owners Cooperative Savings And Credit Society Limited
10000114011,114R,Likambu Matatu Savings And Credit Co-Operative Society Limited|Bakaki 101 Travellers Savings And Credit Co-Operative Society Limited|Gmk Sacco Limited
80000114011,114W,Forward Travellers Sacco Ltd|Kariobangi Matatu Owners Savings And Credit Co-Operative Society Limited|2Kr Route 105 Multipurpose Cooperative Society Limited
80000115011,115,Forward Travellers Sacco Ltd|Integrity Intercity Limited|Kariobangi Matatu Owners Savings And Credit Co-Operative Society Limited
10000116011,116,Likambu Matatu Savings And Credit Co-Operative Society Limited|Bakaki 101 Travellers Savings And Credit Co-Operative Society Limited|Eastern Kubamba Limited
80100011811,118,Bakaki 101 Travellers Savings And Credit Co-Operative Society Limited|Home Sacco Limited|Walokana Multipurpose Co-Operative Society Ltd
80000011911,119,KBS|Ongata Line|Nicco Movers
80000119A11,119A,Transworld Transport Savings And Credit Co-Operative Society Ltd|Bakaki 101 Travellers Savings And Credit Co-Operative Society Limited|Bybuss Trans Limited
10100011A11,11A,Gmk Sacco Limited
30100011C11,11C,Naboka Travellers Sacco|Aldana Travellers Sacco|Baba Dogo 25 Travellers Sacco
10300011F11,11F,Gmk Sacco Limited|8B Savings And Credit Co-Operative Society Ltd|Baba Dogo 25 Travellers Sacco
50100001121,11_2,Telaviv Travellers Limited|Arbab Ventures Limited|County Link Savings And Credit Co-Operative Society Ltd
20100012011,120,Tikagi Savings And Credit Cooperative Society Limited|Githiga Travellers Sacco|Likambu Matatu Savings And Credit Co-Operative Society Limited
20100012111,121,Bakaki 101 Travellers Savings And Credit Co-Operative Society Limited|Risen Company Limited|Rwaken Investments Limited
50205012511,125,Ongata Line|Fastrack United And Credit Cooperative Society|Matatu Crew Association Sacco
50205012611,126,Ongata Line|Fastrack United And Credit Cooperative Society|Lankana Sacco Society Limited
70400012611,126N,Emaar City Bus Limited|Luminous Shuttles Limited|Nailepu Travellers Sacco
50205012601,126RK,Bybuss Trans Limited|Expreso Limited|Fastrack United And Credit Cooperative Society
70000012911,129,Benjo( K) Ltd|Eastern Bypass Savings And Credit Co-Operative Society Limited|Kiwaliru Savings And Credit Co-Operative Society Limited
50300012C11,12C,Eastern Kubamba Limited|Naboka Travellers Sacco
50301012D11,12D,Eastern Kubamba Limited|Naboka Travellers Sacco|Ngong Travellers Sacco
80000135011,135,Forward Travellers Sacco Ltd|Kariobangi Matatu Owners Savings And Credit Co-Operative Society Limited|2Kr Route 105 Multipurpose Cooperative Society Limited
30800001411,14,Kariobangi Matatu Owners Savings And Credit Co-Operative Society Limited|Neema Travellers Agency Limited|Benjo( K) Ltd
20000145011,145,KBS|Super Metro|Forward Travellers
50700014501,145B,Meruit Logistics Limited|Circular Classic Company Limited|Expreso Limited
20700145D01,145D,Forward Travellers Sacco Ltd|Jonsaga Flats Sacco|Libera Impex Limited
