route_id,number,description,outbound_to,inbound_to,corridor
70401000111,1,Karen-Karinde-Dagoretti Market,Dagoretti Market,Karen Shopping Centre/Karen,
70601000211,2,Railways-Ngong Road-Kawangware-Dagoretti Market,Dagoretti Market Mwisho,Railways,ngong_road
70301000511,5,Town-Kenyatta-Adams-Jamhuri,Togo Apartments,Ambassadeur,ngong_road
20702000611,6,Koja-Pangani Flyover-Guru Nanak-Pangani Girls High School-Mlango-Eastleigh,Eastleigh Terminal,Koja,
30100000711,7,Town-Kariokor DC-Gikomba,Gikomba,Town,
70200000811,8,Railways-Ngong Road-Kibera,Equity Ayani,Railways,ngong_road
40401001011,10,Muthurwa-Makadara-Maringo,Mwisho,Muthurwa,kangundo_road
50100001111,11,Bus Station-Industrial Area-South B-Hazina,South B Mwisho,Bus Station,
30800001411,14,Ronald Ngala-Juja Road-Eastleigh-Huruma-Kariobangi,Kariobangi Terminal,Terminal Otc,
50204001511,15,Bus Station-Nyayo Stadium-Wilson-Langata,Terminal,Bus Station,langata_road
50203001611,16,Bus Station-Nyayo Stadium-T Mall-Highrise,Highrise,Bus Station,langata_road
40702002001,20,Mama Lucy Hospital-Kayole-Njiru-Mwiki,Mwiki Terminal,Mama Lucy Terminal,
50206002411,24,Ambassadeur-Nyayo Stadium-Bomas-Hardy-Karen,Kencom,Karen/Nakumatt Crossroads,ngong_road
20801002511,25,Odeon-Pangani-Alssops-Baba Dogo,Baba Ndogo Terminal,Odeon Terminal,thika_road
40501002611,26,Makadara-Harambee-Outering-Kariobangi,Kariobangi,Makadara/Mwisho,
30800002811,28,Gikomba-Eastleigh-Huruma-Kariobangi,Kariobangi Terminal,Gikomba Market Terminals,
80400003011,30,Odeon-Westlands-Kangemi-Uthiru,Ndumbuini Terminus,Odeon Terminus,
40601003611,36,City Stadium-Buruburu-Kwa Mbao-Dandora,Dandora Terminal,City Stadium,kangundo_road
30007004111,41,Gikomba-Rounda-Dandora,Dandora Terminal,Gikomba,
20807042011,42,Allsops-Rounda-Dandora,Dandora Terminal,Terminal,
20901043011,43,Bus Station-Pangani-Alssops-Ngumba,Ngumba Terminal,Bus Station,thika_road
21000004911,49,Odeon-Pangani-Roysabu-Kasarani-Sunton,Sunton,Odeon Terminals,thika_road
20400005311,53,Roasters-Thome-Maruirui,Maruirui,Roasters,
60201005611,56,Town-Yaya-Congo-Kanungaga,Kanungaga/56 Mwisho,Railways,
40601005811,58,Ambassadeur-Jogoo Road-Buruburu,Mutindwa,Ambassadeur,kangundo_road
40102040511,69,Muthurwa-Hillocks-GM,Gm Mwisho,Muthurwa,
20100010011,100,O.T.C-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu,Kiambu Bus Terminus,Githunguri Terminal,kiambu_road
70600010211,102,Railways-NgongRoad-Kawangware-Kikuyu,Kikuyu,Railways,ngong_road
70000010311,103,Dagoretti Market-Uthiru-Kinoo-Wangige,Wangige Stage,Kenol Dagoretti Corner,
80500010511,105,Odeon-Westlands-Kangemi-Kinoo-Regen-Kikuyu,Odeon Terminus,Kikuyu Terminus,
10300106011,106,Odeon-UN-Ruaka-Banana,Banana Terminus,Koja/Nation Centre,
10400010711,107,Odeon-UN-Ruaka-Ndenderu,Karura Mwisho,Odeon,
10200010811,108,UN-New Muthaiga-Gachie-Gichagi,Gasolina/Gichagi Mwisho,Poland Embassy,
50800011011,110,Railways-Mombasa Road-Mlolongo-Kitengela,Kitengela,Easy Coach/Uchumi,mombasa_road
70400011111,111,Railways-Ngong Road-Karen-Ngong,Ngong Bus Terminus,Railways,ngong_road
80000115011,115,Koja-Westlands-Kangemi-Limuru,Limuru Town Terminal,Koja,
10000116011,116,Koja-Ngara-Banana-Limuru,Limuru Terminus,Koja,
80100011811,118,Koja-Westlands-Kabete-Wangige,Wangige Stage,Ngara Flyover Bottom,
80000011911,119,Koja-Westgate-Wangige,Wangige Health Centre,Koja,
20100012011,120,Kaka-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu-Githunguri,Githunguri Terminal,Githunguri Terminal,kiambu_road
20100012111,121, Kaka-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu-Ndumberi,Ndumberi,Githunguri Terminal,kiambu_road
50205012511,125,Railways-Langata Road-Bomas-Ongata Rongai,Kware,Railways,langata_road
50205012611,126,Railways-Langata Road-Ongata Rongai-Kiserian,Kiserian,Railways,langata_road
70000012911,129,Kikuyu-Magu-Kingeero-Wangige,Wangige Stage,Kikuyu Terminus,
80000135011,135,Kaka-Westlands-Kangemi-Limuru,Limuru Town Terminal,Kaka Terminal,
20000145011,145,Munyu Road-Pangani-Roysabu-Githurai-KU-Ruiru,Ruiru,Kenya National Archives,thika_road
20000237011,237,Munyu Road-Pangani-Roysabu-Githurai-KU-Ruiru-Juja-Thika,Thika Town,Kenya National Archives,thika_road
40101040501,405,City Stadium-Nyayo Stadium,Baricho Road Terminus,City Stadium/Lusaka Road Junctn,
40703196011,1960,OTC-Donholm-Kayole,Kayole 1,Ladhes Road/Otc,kangundo_road
20800203001,2030,Allsops-Rounda,Rounder,Terminal,
30603373812,3738,Rounda-Saika-Ruai,Quickmart,Rounder,kangundo_road
4070500SK11,04SK,Ronald Ngala-Jogoo Road-Kangundo Road-Saika-Kayole Junction,Saika Junction,Tuskys Ronald Ngala,kangundo_road
20100100A11,100A,Ngara-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu Hospital,Kiambu Hospital,Ngara Bus Terminals,kiambu_road
10000107D11,107D,Ruaka-Ruiru,Ruiru,Main Stage,
50100001121,11_2,Town-Industrial Area-Mater-Railways Training Institute-Balozi-Hazina,Diamond Park Estate,Bus Station,
50901011012,110AK,Athi River-Makadara-Kitengela,Kitengela,Devki,mombasa_road
50901011011,110ATH,Railways-Mombasa Road-Devki-Makadara,Makadara,Easy Coach/Uchumi,mombasa_road
10000114011,114R,Ngara-Rwaka-Ndenderu-Limuru,Limuru Terminus,Ngara Stage,
80000114011,114W,Ngara-Westlands-Kangemi-Limuru,Limuru Town Terminal,Ngara Teminal,
80000119A11,119A,Town-Westlands-Peponi Road-Spring Valley-ISK-Gathiga,Gathiga Mwisho,Koja,
