stage_id,name,lat,lon,kind
osm:5886553692,26,-1.278345,37.033710,bus_stop
osm:4189426101,36 stage,-1.261424,36.886398,bus_stop
osm:10832093292,3rd Parklands Avenue/Aga Kan Hospital Junction,-1.263229,36.825077,platform
osm:5013388221,46 Bus station,-1.285710,36.824835,bus_station
osm:8050414671,46 Stage,-1.283763,36.742466,bus_station
osm:8050437496,56 Mwisho,-1.277738,36.752589,bus_stop
osm:8050437508,56 Stage,-1.278267,36.750692,station
osm:10832093303,5th parklands avenue,-1.260939,36.825850,platform
osm:10844057340,6th Parklands Avenue/Regal House/Kobil,-1.257770,36.826910,platform
osm:9800929004,75,-1.312494,36.923563,platform
osm:7174109435,87,-1.257468,36.700283,platform
osm:7174126754,87,-1.257869,36.700869,platform
osm:7174143605,ABC,-1.258651,36.779467,platform
osm:7174143606,ABC,-1.259058,36.778402,platform
osm:2990724429,Abduba Stage,-1.059440,37.135251,bus_stop
osm:5886553694,Acacia,-1.277026,37.021905,bus_stop
osm:12075947861,Accacia Junction(King'eero Mwisho),-1.224559,36.706424,bus_stop
osm:10832126032,ACK Thibigwa,-1.181032,36.762044,platform
osm:30030231,Adams,-1.300038,36.780462,platform
osm:2279270334,adapt a light,-1.258318,36.862067,bus_stop
osm:2286564318,adapt alight,-1.248771,36.876453,bus_stop
osm:2286564335,adapt alight,-1.249357,36.875144,pub
osm:2286564341,adapt alight,-1.250290,36.876895,bus_stop
osm:2286564347,adapt alight,-1.250680,36.875459,platform
osm:2286564353,adapt alight,-1.251469,36.875289,bus_stop
osm:2261405859,adopt a light,-1.248776,36.876446,bus_stop
osm:10832126007,Aga Khan Academy,-1.266405,36.823195,platform
osm:10844057352,Agha khan hospital junction/ 3rd parklands ave,-1.261936,36.825454,platform
osm:6208217648,Airport Junction,-1.346523,36.902272,bus_station
osm:9800813307,Amani bus stage,-1.280355,36.964260,platform
osm:1507544234,Ambassador Bus Stage,-1.285462,36.825877,bus_station
osm:9800855387,AP,-1.285189,36.956093,platform
osm:5336131021,Arusha shuttle,-1.281025,36.818799,bus_station
osm:3729213446,Athi River (MGR),-1.449094,36.975434,station
osm:4893896401,Athi River (SGR),-1.467976,36.990919,station
osm:12133974300,Aviation,-1.319754,36.906049,station
osm:8050414678,Bada Kabiro,-1.285745,36.745186,bus_station
osm:5552396279,Bahimia SACCO,-1.283671,36.825299,bus_station
osm:10844129451,Banana Terminus,-1.173875,36.758608,bus_station
