sequence,lat,lon
0,-1.248725,36.945918
1,-1.248701,36.946136
2,-1.248699,36.946549
3,-1.248723,36.947000
4,-1.248746,36.947264
5,-1.248798,36.947728
6,-1.248864,36.948172
7,-1.248978,36.948703
8,-1.249265,36.949654
9,-1.249393,36.950011
10,-1.249566,36.950494
11,-1.250150,36.951653
12,-1.250423,36.952169
13,-1.250588,36.952486
14,-1.250804,36.952903
15,-1.251032,36.953342
16,-1.251202,36.953718
17,-1.251431,36.954272
18,-1.251555,36.954588
19,-1.251896,36.955624
20,-1.252017,36.956058
21,-1.252243,36.956977
22,-1.252319,36.957266
23,-1.252478,36.957881
24,-1.252571,36.958220
25,-1.252766,36.958953
26,-1.252941,36.959646
27,-1.253190,36.960600
28,-1.253313,36.961071
29,-1.253754,36.962807
30,-1.253894,36.963361
31,-1.254168,36.964403
32,-1.254273,36.964805
33,-1.254477,36.965533
34,-1.254616,36.965964
35,-1.254671,36.966137
36,-1.254820,36.966527
37,-1.254982,36.966897
38,-1.255319,36.967603
39,-1.255722,36.968300
40,-1.255927,36.968599
41,-1.256300,36.969132
42,-1.256504,36.969381
43,-1.256839,36.969771
44,-1.257083,36.970041
45,-1.257571,36.970497
46,-1.258174,36.971030
47,-1.258719,36.971445
48,-1.259249,36.971841
49,-1.259859,36.972334
50,-1.260142,36.972596
51,-1.260652,36.973162
52,-1.260820,36.973369
53,-1.260989,36.973618
54,-1.261386,36.974275
55,-1.261613,36.974686
56,-1.261773,36.974964
57,-1.261926,36.975295
58,-1.262039,36.975610
59,-1.262252,36.976363
60,-1.262294,36.976549
61,-1.262429,36.977054
62,-1.262591,36.977650
63,-1.262868,36.978612
64,-1.263009,36.979137
65,-1.263162,36.979657
66,-1.263373,36.980343
67,-1.263484,36.980716
68,-1.263545,36.980925
69,-1.263684,36.981370
70,-1.263839,36.981908
71,-1.264076,36.982011
72,-1.264035,36.982647
73,-1.264183,36.983093
74,-1.264306,36.983483
75,-1.264606,36.983978
76,-1.264554,36.984321
77,-1.264659,36.984685
78,-1.264784,36.985117
79,-1.265075,36.985958
80,-1.265186,36.986268
81,-1.265366,36.986736
82,-1.265644,36.987033
83,-1.265702,36.987493
84,-1.265872,36.987866
85,-1.266171,36.988460
86,-1.266708,36.989439
87,-1.267025,36.989956
88,-1.267206,36.990256
89,-1.267722,36.990744
90,-1.268187,36.991523
91,-1.268128,36.991763
92,-1.268556,36.992108
93,-1.268662,36.992627
94,-1.268985,36.993154
95,-1.269382,36.993445
96,-1.269335,36.993727
97,-1.269716,36.994012
98,-1.269905,36.994653
99,-1.270014,36.994836
100,-1.270421,36.995493
101,-1.270661,36.995909
102,-1.270815,36.996174
103,-1.271110,36.996680
104,-1.271287,36.996983
105,-1.271712,36.997278
106,-1.272223,36.998453
107,-1.272535,36.998965
108,-1.272957,36.999316
109,-1.272939,36.999617
110,-1.273345,37.000026
111,-1.273566,37.000637
112,-1.274285,37.001511
113,-1.274201,37.001682
114,-1.274386,37.002023
115,-1.274786,37.002601
116,-1.274827,37.002831
117,-1.274981,37.003225
118,-1.275182,37.003727
119,-1.275369,37.004469
120,-1.275482,37.005134
121,-1.275539,37.005724
122,-1.275586,37.006192
123,-1.275752,37.007895
124,-1.275775,37.008119
125,-1.275829,37.008678
126,-1.275850,37.008906
127,-1.275917,37.009638
128,-1.276007,37.010595
129,-1.276046,37.011032
130,-1.276100,37.011629
131,-1.276140,37.012095
132,-1.276204,37.012778
133,-1.276370,37.014536
134,-1.276416,37.015049
135,-1.276441,37.015320
136,-1.276479,37.015744
137,-1.276526,37.016244
138,-1.276578,37.016782
139,-1.276676,37.017790
140,-1.276697,37.018026
141,-1.276798,37.019137
142,-1.277014,37.021459
143,-1.277090,37.022260
144,-1.277175,37.023258
145,-1.277355,37.025205
146,-1.277413,37.025834
147,-1.277436,37.026073
148,-1.277480,37.026535
149,-1.277604,37.027865
150,-1.277668,37.028558
151,-1.277702,37.028935
152,-1.277729,37.029223
153,-1.277792,37.029889
154,-1.277818,37.030167
155,-1.277886,37.030885
156,-1.277931,37.031409
157,-1.278016,37.032176
158,-1.278111,37.033378
159,-1.278136,37.033703
