route,corridor,from_terminus,to_terminus,num_stages,return_towards,stages_in_order,surveyed_description,source_route_id
1,,Karen Dispensary,Dagoretti Market,14,Karen,Karen Dispensary > Nyumbani Diagnostic Lab > Nyumbani > Kenya Defense > Pepo Lane/St.Odillas > Don Bosco > St.Hannahs School > Africa International University > Rhino/Rhinopark Road > St.Hannah'S Girls/Kenya Assemblies Of God > Karinde Pcea Junction > Free Pentecostal Church/Karen End > Deliverance Church/Dagoretti Market > Dagoretti Market,Karen-Karinde-Dagoretti Market,70401000111
2,,Railways,Dagoretti Market Mwisho,30,Railways,Railways > Nairobi Area Police Traffic Headquarters > Kenyatta National Hospital > Memosa/Coptic > Uchumi Hyper Ngong Road/ Ngong Hills Hotel > Nakumatt Prestige > Motherland > Adams Arcade > Posta > Posta Stage > Impala > Jamuhuri/Kibera Station Road > Nakumatt Junction > Dagoretti Corner Stage > Deliverance Church Riruta > Kinyanjui > Sugoini > Mlangosoko > BP > Precious Blood Girls' School > Krep/Equity > Kwa Ng'Ang'A > Beth Mugo High School Kaberia > Mithonge > Waithaka > Mugiriti > Gachui > Ruthimitu Secondary School > Dagoretti Market > Dagoretti Market Mwisho,Railways-Ngong Road-Kawangware-Dagoretti Market,70601000211
5,,Kencom,Togo Apartments,15,Kencom,Kencom > Gpo > Serena > Valley Road Pentecostal > Memosa/Coptic > Uchumi Hyper Ngong Road/ Ngong Hills Hotel > Nakumatt Prestige > Motherland > Adams Arcade > Adams Arcade > Winners Chapel/Kanisani > Woodley > Nairobi Water > Npc Woodley > Togo Apartments,Town-Kenyatta-Adams-Jamhuri,70301000511
6,,Koja,Eastleigh Terminal,12,Koja,Koja > Ngara > Kie/Pioneer > Fly Over Pangani > Caltexdn > Guru Nanak > Pangani Police Post > Pangani Girls > Mamba Petro Station > Mlango > St Teresa > Eastleigh Terminal,Koja-Pangani Flyover-Guru Nanak-Pangani Girls High School-Mlango-Eastleigh,20702000611
7,,Luthuli Avenue,Gikomba,4,Gikomba,Luthuli Avenue > Kwa Dc/Id > Riziki Academy > Gikomba,Town-Kariokor DC-Gikomba,30100000711
8,,Railways,Equity Ayani,19,Railways,Railways > Nairobi Area Police Traffic Headquarters > Kenyatta National Hospital > Memosa/Coptic > Uchumi/National Oil > Rose Of Sharon > Peak Academy > Nursing Council > Kabarnet Gardens > Moi Girls' School Junction > Kwa DC > Makina/Kibera Law Courts > Kwa Njiru(Petrol Station) > San Siro > Karanja > Fort Jesus > Olympic Primary School > Olympic Primary School Stage > Equity Ayani,Railways-Ngong Road-Kibera,70200000811
10,,Muthurwa,Mwisho,17,Muthurwa,Muthurwa > City Stadium Stage > Shauri Moyo > Maziwa > Rikana > Church Army > Posta > Uchumi Jogoo Road > Kotini > Maringo Phase1 > Friends Centre > Hodihodi > No 10 > Junction > Lumumba Madukani > Lumumba Hosptial > Mwisho,Muthurwa-Makadara-Maringo,40401001011
11,,Bus Station,South B Mwisho,27,Bus Station,Bus Station > Kobil Haile Selassie > Makaburini > Industrial Area > Industrial Area Round About > Dunga Road/ Machakos > Car & General > Bandari > Dar-Es-Salaam > Mater Hospital > Makueni > Meridian > Mariakani > South Gate Centre > Kapiti Junction > Mchumbi Road > Mchumbi Road > Karuku > Plains View Primary > Githeri Rise > Sori > Mombasa Road > Sana Sana > Balozi > Our Lady Secondary > Hazina Estate > South B Mwisho,Bus Station-Industrial Area-South B-Hazina,50100001111
14,,Terminal Otc,Kariobangi Terminal,19,OTC,Terminal Otc > Kariokor > Pangani Girls > Mamba Petro Station > Mlango > Karambe > St Teresa > Albadr > Mathare Worship > BH > Agip > Number 10 > Thayo > Kwa Chief > Base > Flats > Johnsaga > Mother Teresa Road > Kariobangi Terminal,Ronald Ngala-Juja Road-Eastleigh-Huruma-Kariobangi,30800001411
15,,Bus Station,Terminal,15,Bus Station,Bus Station > Nyayo Stadium/Nairobi West Stage > Madaraka Flyover Stage > Wilson Airport/Shell > Amref > Dam Estate > Carnivore/Uchumi Hyper > Lang'Ata > Barracks > Pcea Junction > Chiefs > Otiende > Kanga Road > Mosque > Terminal,Bus Station-Nyayo Stadium-Wilson-Langata,50204001511
