stage_id,name,lat,lon,corridor,routes,aliases,nearby_osm_name
0211KMJ,19/60 Stage,-1.285344,36.832273,kiambu_road thika_road,43 100 120 121 17B 32D 1960 1961K,Githunguri Terminal | Ladhes Road/Otc,Naivasha bus stop
0212LUT,25A Terminal,-1.282705,36.824584,thika_road,25 30 49 105 107 11A 11C 11F 25A 44G 44Z 48A 48B 48C 48O 23KG,Main Stage | Odeon | Odeon Terminal | Odeon Terminals | Odeon Terminus,Githurai Zimmerman
0201MGN,2Nd Miguini,-1.218296,36.873967,,53,,
0401SIX,36 Stage,-1.262577,36.886961,,36 23KS,Junction 36 Stage | Kariobangi South Estate/Deliverance Church,Its Here
0501S39,39,-1.438724,36.978432,,110ATH,,Namanga Junction
07113AV,3Rd Avenue,-1.294957,36.810238,,2 8 24 4W 7C 102 111 24C 32A 33NG,3Rd Ngong Avenue,KCB/Equity
0110TPA,3Rd Parklands Avenue/ Aga Kan Hospital Junction,-1.263250,36.824980,,106 107 116 11A 11F 114R,Aga Khan Hospital Junction | Aga Khan Hospital Stage 2,3rd Parklands Avenue/Aga Kan Hospital Junction
0311FTY,41 Stage,-1.251773,36.903160,,36 41 42 32D,,
0701N44,44,-1.372973,36.671897,,126N,,Kona Stage 46
0200STR,5 Star Estate,-1.189810,36.839590,kiambu_road,100 120 121 100A,,
0400FSX,56,-1.264858,36.886968,,23KS,Friends Inn,Its Here
0111RHK,6Th Parklands Avenue/Regal House/Kobil,-1.257770,36.826910,,106 107 116 11F 114R,,6th Parklands Avenue/Regal House/Kobil
0511SUP,7Up,-1.307380,36.814910,,14A,,KCB/Equity
0810EGT,87,-1.257979,36.701583,,103 105 115 135 114W,87/Gachecheni | 87/Total | Kinoo,87
0710BBT,88Mph/Brew Bistro,-1.299571,36.765120,,2 24 4W 102 111,,Kibera
0511ADP,A.P,-1.284949,36.956518,,33H 33J 33UTW,,AP
0801SAF,Aacc/Safaricom/Church Road,-1.259820,36.786870,,30 105 115 135 48K 114W 23KG,Westlands Dc,Safaricom/Saf
0700ABB,Abba Photo Studio/Kaberia,-1.290783,36.732013,,4W,St. John Othordox Church,Kabiria Kwa maji
0800BAC,ABC,-1.259562,36.775694,,30 105 115 135 48K 114W 23KG,Abc | Abc Place Entrance | James Gichuru Junction | Kari/James Gichuru,James Gichuru/Agriculture
0811ABC,Abc Place Stage,-1.258970,36.778600,,30 105 115 135 48K 114W 23KG,Apdk | Kabete Barracks,ABC
0501ACA,Acacia,-1.398809,36.725319,,126 126RK,,
0701ACC,Acacia Junction/King'Eero,-1.224886,36.705526,,103 118 129,Acacia Petrol Station Junction/King'Eero | Accacia Junction(Kingeero -Mwisho) | Kigeero-Mwisho,King'eero/Mwisho
0511TOL,Acacia/Total,-1.355979,36.762093,,125 126,Park Place,
0800ACA,Acacia/Wangige,-1.220700,36.715220,,119,,Wangige Stage
0401ACC,Acc&S Kariobangi South Church,-1.266482,36.885569,,36,Pcea,Kariobangi South
0801AGM,Ack Assemblies Of God Mwimuto,-1.234330,36.745640,,119,Kanini | Mwimuto,Kirawa Close
0811AKK,Ack Kibichiku,-1.223400,36.722180,,119,Wangige Health Centre,
0800ACH,Ack Kibichiku,-1.230440,36.734040,,119,,
0701ACI,Ack St. Phillips,-1.229171,36.691852,,103 129,,
0800ACB,"Ack, Bidii Premier School",-1.222780,36.720540,,119,Wangige Health Centre,Wangige Stage
0800COS,Acorn House/Ipsos Synovate,-1.283087,36.765798,,48K,Ipsos Synovate/Acorn House,Valley Arcade Bus Stop
0710ADC,Adams Arcade,-1.300006,36.780041,,2 5 24 4W 102 111 24C,,Adams
0500AAL,Adopt Alight,-1.333549,36.889946,,110 110ATH,,Cabanas Bus Stop
0501ADV,Adventist University,-1.401103,36.722692,,126 126RK,Barabara Mpya,
0801AFL,Afralti,-1.263660,36.761300,,30 105 115 135 114W 23KG,,Kianda Stage
0501AGC,Africa Gospel Church,-1.340190,36.748270,,24BK,Mosque,Tangaza University
0701AIU,Africa International University,-1.301827,36.689733,,1,,
0500ACC,African Conservatories Centre/Fa,-1.338660,36.738030,,24BK,Fair Acres Road,
0200AFY,Afya Health,-1.199847,36.900519,thika_road,44G 44K 44Z,Car Wash | Leesta Supermarket | Main Stage,Githurai 44 Stage
0101AGA,Aga Khan Academy,-1.266280,36.823310,,106 107 116 11A 11F 114R,,Aga Khan Academy
0811AGA,Aga Khan High School,-1.259340,36.782810,,30 105 115 135 48K 114W 23KG,,Safaricom/Saf
0101AKE,Aga Khan Hospital Entrance,-1.261780,36.822240,,11A,Aga Khan Hospital Stage,3rd Parklands Avenue/Aga Kan Hospital Junction
0111AKS,Aga Khan Hospital Stage,-1.262370,36.823690,,11A,,3rd Parklands Avenue/Aga Kan Hospital Junction
0201AGH,Agha Khan Hospital,-1.268924,36.809952,,23W,,Chiromo Bus Stage
0510AGP,Agip,-1.291151,36.823288,,2 8 11 15 16 24 4W 56 102 110 111 125 126 14A 14B 24C 11_2 33NG 33IMR 33MKR 110ATH,,Railway Stage
0311AGP,Agip,-1.263902,36.860826,,14 28 41 18C 32D 46B 46H 16/62 17Aky,N 10,No 10
0500AGB,Agribusiness Centre,-1.365584,36.735952,,24C,,
0801ATI,Ahiti,-1.263740,36.725040,,30,,N (Posta / Technical)
0310ACC,AIC,-1.256659,36.897995,,36 41 42 18C 32D 3738 16/62,Aic Church,SENIOURS STAGE
0201AIS,Aic Lucky Summer,-1.240432,36.895398,thika_road,25A,House Of Faith Ministry | Mosque | Mosque Syd Ya Juu,Kwa Mosque
0700AIC,Aic Riruta,-1.283999,36.735204,,2 102,,Riruta Stage
0301AIZ,Aic Ziwani,-1.279600,36.837297,,3N,Ziwani,Narokline
0201AIP,Aipcea,-1.119750,36.819057,kiambu_road,120,,
0410APT,Airport  Town Stage,-1.332423,36.926603,,34J,Passenger Drop Off,
0501APJ,Airport Junction,-1.344124,36.902578,,110 110ATH,,Airport Junction
