route,corridor,from_terminus,to_terminus,stages,already_done,known_terminals,known_saccos,researched_terminal,researched_saccos,research_confidence,YOUR_TERMINAL,YOUR_SACCOS
10,kangundo_road,Muthurwa,Mwisho,17,,,,Bus Station | Commercial | Fig Tree | Gikomba | Knh | Muthurwa | Otc | Railways,"Geobeat Maoka, 61 BUS, Eastern Bypass, Kani Transport",high,,
36,kangundo_road,City Stadium,Dandora Terminal,37,,,,Bus Station | Commercial | Fig Tree | Gikomba | Kencom | Knh | Muthurwa | Odeon | Otc | Railways,"Risen Company, Dandora Usafiri, Eastlands Eagles, Dabumato",high,,
58,kangundo_road,Ambassadeur,Mutindwa,18,,,,Commercial | Fig Tree | Kencom | Muthurwa | Odeon | Otc | Railways,"Risen Company, Buruburu 58, Geobeat Maoka, MNK Society",high,,
19C,kangundo_road,Ronald Ngala/Tuskys,Mkanju Court,43,,,,Bus Station | Commercial | Fig Tree | Gikomba | Kencom | Knh | Muthurwa | Odeon | Otc | Railways,"Risen Company, City Star Shuttle, Geobeat Maoka, Umoinner",high,,
19C,kangundo_road,Ambassadeur,Mkanju Court,53,,,,Bus Station | Commercial | Fig Tree | Gikomba | Kencom | Knh | Muthurwa | Odeon | Otc | Railways,"Risen Company, City Star Shuttle, Geobeat Maoka, Umoinner",high,,
33C,kangundo_road,Commercial,Kobil,24,,,,Bus Station | Commercial | Fig Tree | Gikomba | Kencom | Knh | Muthurwa | Odeon | Otc | Railways,"Geobeat Maoka, Libera Impex, Risen Company, ROG",high,,
34B,kangundo_road,Ambassadeur,Jacaranda,23,,,,Bus Station | Commercial | Fig Tree | Gikomba | Kencom | Knh | Muthurwa | Odeon | Otc | Railways,"Risen Company, City Star Shuttle, Geobeat Maoka, MNK Society",high,,
34J,kangundo_road,Ambassadeur,Passenger Boarding,27,,,,Bus Station | Commercial | Fig Tree | Gikomba | Kencom | Knh | Muthurwa | Odeon | Otc | Railways,"Risen Company, City Star Shuttle, Geobeat Maoka, MNK Society",high,,
04SK,kangundo_road,Tuskys Ronald Ngala,Saika Junction,19,,,,Bus Station | Commercial | Fig Tree | Gikomba | Kencom | Knh | Muthurwa | Odeon | Otc | Railways,"Umoinner, Risen Company, City Star Shuttle, City Tram Shuttle",high,,
1960,kangundo_road,Ladhes Road/Otc,Kayole 1,41,,,,Bus Station | Commercial | Fig Tree | Gikomba | Kencom | Knh | Muthurwa | Odeon | Otc | Railways,"Risen Company, Geobeat Maoka, Libera Impex, Salty Bizada Investment",high,,
19C2,kangundo_road,Umoja Stage,Tushauriane,26,,,,,,,,
33DP,kangundo_road,Muthurwa,Rounda,21,,,,Bus Station | Fig Tree | Gikomba | Kencom | Knh | Muthurwa | Odeon | Otc | Railways,"Geobeat Maoka, Outreach Travel, 61 BUS, Inter Counties",high,,
3738,kangundo_road,Soko,Quickmart,21,,,,,,,,
1961K,kangundo_road,Ladhes Road/Otc,Diesel,38,,,,Bus Station | Commercial | Fig Tree | Kencom | Knh | Muthurwa | Odeon | Otc,"Risen Company, Geobeat Maoka, Libera Impex, MNK Society",high,,
33GTB,kangundo_road,Commercial,Gate B,20,,,,Bus Station | Commercial | Fig Tree | Kencom | Knh | Muthurwa | Odeon | Otc | Railways,"Geobeat Maoka, Risen Company, MNK Society, Eastlands Eagles",high,,
35/60,kangundo_road,Tuskys Ronald Ngala,Umoja Market,15,,,,Bus Station | Commercial | Fig Tree | Gikomba | Kencom | Knh | Muthurwa | Odeon | Otc | Railways,"Umoinner, Risen Company, Geobeat Maoka, Salty Bizada Investment",high,,
70/71,kangundo_road,Muthurwa,Donholm,16,,,,Bus Station | Fig Tree | Knh | Muthurwa | Railways,"Geobeat Maoka, Outreach Travel, Inter Counties, Eastlands Eagles",high,,
