pto_no,sacco_clean,route_hints,pto_name_raw,declared_routes,parsed_routes_count
NTSA/RSN-0004,2B,2B,2B TRAVELLERS SACCO LTD,9,9
NTSA/RSN-0007,2KR,105,2KR ROUTE 105 MULTIPURPOSE COOPERATIVE SOCIETY LIMITED,7,7
NTSA/RSN-0008,2KW,,2KW SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,10,10
NTSA/RSN-01907,61 BUS,61,61 BUS LIMITED,3,3
NTSA/RSN-0657,8B,8B,8B SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,5,5
NTSA/RSN/8384,Akilla,,AKILLA  TRANSPORTERS  LIMITED,1,1
NTSA/RSN-01901,Aldana Supreme,,ALDANA SUPREME SERVICES LIMITED,4,4
NTSA/RSN-0023,Aldana,,ALDANA TRAVELLERS SACCO,9,9
NTSA/RSN-7779,Arbab Ventures,,ARBAB VENTURES LIMITED,5,5
NTSA/RSN-0030,Baba Dogo 25,25,BABA DOGO 25 TRAVELLERS SACCO,5,5
NTSA/RSN-0032,Bakaki 101,101,BAKAKI 101 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,3,3
NTSA/RSN-0037,Banana Hill Matatu,,BANANA HILL MATATU SACCO LTD,5,5
NTSA/RSN-0039,Benjo( K),,BENJO( K) LTD,5,5
NTSA/RSN-0050,Buruburu 58,58,BURUBURU 58 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,6,6
NTSA/RSN-9870,Bybuss Trans,,BYBUSS TRANS LIMITED,8,7
NTSA/RSN-0053,Cbet,,CBET SACCO,9,8
NTSA/RSN-0064,Chania,,CHANIA TRAVELLERS SACCO,22,22
NTSA/RSN-041811,Chelsea,,CHELSEA TRANSPORTERS LIMITED,4,4
NTSA/RSN-5013,Circular Classic Company,,CIRCULAR CLASSIC COMPANY LIMITED,9,9
NTSA/RSN-0069,City Star Shuttle,,city star shuttle limited,28,28
NTSA/RSN-0070,City Tram Shuttle,,CITY TRAM SHUTTLE LIMITED,8,8
NTSA/RSN-0079,Compliant,,COMPLIANT MOA,12,12
