pto_no,sacco,permit_id,route_hints,is_intercity,route_text,pto_name_raw
NTSA/RSN-0004,2B,NTR-00539,2B,False,"kikuyu, dagoreti, gikambura",2B TRAVELLERS SACCO LTD
NTSA/RSN-0004,2B,NTR-00201912130944110,2B,False,"Kikuyu, GikamburaKamanguMutarakwaLimuruNorthern bypassRuiruThika rd, Thika (MAKONGENI)",2B TRAVELLERS SACCO LTD
NTSA/RSN-0004,2B,NTR-001144,2B,False,"Railways, Waiyaki way Uthiru kawangware Kikuyu gikambura kamangu mutarakwa limuru northern bypass thika Rd thika, Thika(makongeni)",2B TRAVELLERS SACCO LTD
NTSA/RSN-0004,2B,NTR-00667,2B,False,"railways, kawangware,dagorretti,kikuyu, gikambura",2B TRAVELLERS SACCO LTD
NTSA/RSN-0004,2B,NTR-00201901141024040,2B,False,"knh, kawangware,dagoreti,kikuyu, gikambura",2B TRAVELLERS SACCO LTD
NTSA/RSN-0004,2B,NTR-00201901141021120,2B,False,"knh, dagoreti,kikuyu, limuru",2B TRAVELLERS SACCO LTD
NTSA/RSN-0004,2B,ADR-YM3SEOK,2B,False,"Railways, Karen via bomas kawangwarekabiria dagoretti Kikuyu Muslim gikambura waiyaki way, Uthiru",2B TRAVELLERS SACCO LTD
NTSA/RSN-0004,2B,ADR-8LMSVDD,2B,False,"railways, kawangware,dagorretti,kikuyu, gikambura",2B TRAVELLERS SACCO LTD
NTSA/RSN-0004,2B,ADR-ZZJS27K,2B,False,"railways, dagoretti,kawangware, kikuyu",2B TRAVELLERS SACCO LTD
NTSA/RSN-0007,2KR,NTR-00202008120851300,105,False,"Kikuyu, Wangige Kiambu Ruiru Thika road Juja, Makongeni",2KR ROUTE 105 MULTIPURPOSE COOPERATIVE SOCIETY LIMITED
NTSA/RSN-0007,2KR,NTR-00346,105,False,"Tommboya, KawangwarekikuyuwestlandsThika RdMakongeniruirukiambuwangige, Limuru",2KR ROUTE 105 MULTIPURPOSE COOPERATIVE SOCIETY LIMITED
NTSA/RSN-0007,2KR,NTR-00341,105,False,"odeon, westlands,kinoo, kikuyu",2KR ROUTE 105 MULTIPURPOSE COOPERATIVE SOCIETY LIMITED
NTSA/RSN-0007,2KR,ADR-O68ILQB,105,False,"odeon, westlands,kinoo, kikuyu",2KR ROUTE 105 MULTIPURPOSE COOPERATIVE SOCIETY LIMITED
NTSA/RSN-0007,2KR,ADR-6DBSD6W,105,False,"odeon, westlands, kinoo, kikuyu, thogoto, kanyariri, mutarakwa, city cabanas",2KR ROUTE 105 MULTIPURPOSE COOPERATIVE SOCIETY LIMITED
NTSA/RSN-0007,2KR,ADR-WZ9S3ZE,105,False,"tommboya, westlands,kinoo,kikuyu,kamangu, limuru",2KR ROUTE 105 MULTIPURPOSE COOPERATIVE SOCIETY LIMITED
NTSA/RSN-0007,2KR,ADR-537HODO,105,False,"odeon, kikuyu,westlands, kinoo",2KR ROUTE 105 MULTIPURPOSE COOPERATIVE SOCIETY LIMITED
NTSA/RSN-0008,2KW,NTR-00494,,True,"nairobi, limuru, nakuru",2KW SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD
NTSA/RSN-0008,2KW,NTR-00202009011729160,,False,"Wangige Market, Ngecha Nduma Kamangu Gikambura Muguga Zambezi, Kahuho",2KW SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD
NTSA/RSN-0008,2KW,NTR-00201901101111320,,True,"Dagoretti Corner, UthiruWangigeKahawa west KU Hospital Ruiru Limuru, Nakuru",2KW SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD
NTSA/RSN-0008,2KW,NTR-00202107221145140,,True,"suswa, kimuka ngong dagoretti corner kawangware uthiru Kikuyu kamangu thigio ngecha wangige kahawa west via Kiambu KU hospital ruiru limuru, nakuru",2KW SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD
NTSA/RSN-0008,2KW,ADR-9AKFJOA,,False,"wangige, kahawa west KU Hospital, Ruiru",2KW SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD
NTSA/RSN-0008,2KW,ADR-DB3TYQY,,True,"suswa, kimuka ngong dagoretti centre kamangu thigio ngecha wangige kahawa west KU hospital ruiru limuru, nakuru",2KW SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD
NTSA/RSN-0008,2KW,ADR-3ZQSJOA,,True,"suswa, kimuka ngong dagoretti corner kawangware uthiru Kikuyu kamangu thigio ngecha wangige kahawa west KU hospital ruiru limuru, nakuru",2KW SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD
NTSA/RSN-0008,2KW,ADR-JY7SZE7,,False,"bus station, ngong road, kawagware, uthiru, wangige",2KW SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD
NTSA/RSN-0008,2KW,ADR-POKSY77,,False,"bus station, wangige,ngong road, kawagware, uthiru",2KW SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD
NTSA/RSN-0008,2KW,ADR-VYASWZP,,True,"dagoretti corner, uthiru,wangige,limuru, nakuru",2KW SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD
NTSA/RSN-01907,61 BUS,NTR-001280,61,False,"Bus station, Muthurwa gikomba , Jogoo road juja rd outering rd , Kayole kangundo rd , Eastern bypass, Utawala City cabanas ruai, Kamulu",61 BUS LIMITED
NTSA/RSN-01907,61 BUS,ADR-K9BFZR3,61,False,"Bus station, Muthurwa, Jogoo road, Kayole, Eastern bypass, Utawala, City cabanas",61 BUS LIMITED
NTSA/RSN-01907,61 BUS,ADR-7WRSODM,61,False,"Bus station, Muthurwa, Jogoo road, Kayole, Eastern bypass, Utawala, City cabanas",61 BUS LIMITED
NTSA/RSN-0657,8B,NTR-00202101181143450,8B,False,"Fig tree, Thika rd Kariokor Gikomba Juja rd Eastleigh KiambiuJericho Jogoo rd Buruburu Outering rd Donholm(caltex) Cabanas Likoni rd Lungalunga rd Kariobangi south, Kangundo rd",8B SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD
NTSA/RSN-0657,8B,NTR-00201909131211180,8B,False,"kariokor, gikomba,eastleigh,jericho,buruburu,outering rd,donholm(caltex), cabanas",8B SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD
NTSA/RSN-0657,8B,ADR-POKSKYO,8B,False,"jericho, eastleigh, kariokor, gikomba",8B SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD
NTSA/RSN-0657,8B,ADR-VYASAWA,8B,False,"jericho, gikomba,eastleigh section3, kariokor",8B SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD
NTSA/RSN-0657,8B,ADR-Q5LCL8B,8B,False,"jericho, gikomba,eastleigh, kariokor",8B SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD
NTSA/RSN/8384,Akilla,ADR-ZZJSJEL,,True,"bus station, mombasa road,south b, south c",AKILLA  TRANSPORTERS  LIMITED
NTSA/RSN-01901,Aldana Supreme,NTR-00202008111559300,,False,"Saika, Dandora Outering road Thika road, Thika",ALDANA SUPREME SERVICES LIMITED
NTSA/RSN-01901,Aldana Supreme,NTR-00202108060811330,,False,"Malaa, ruai dandora outering rd cabanas juja rd kariokor ngara thika rd mwihoko eastern bypass ruiru gatundu juja thika, Muranga",ALDANA SUPREME SERVICES LIMITED
NTSA/RSN-01901,Aldana Supreme,ADR-A5ACPY5,,False,"Ruai, Dandora, Outering rd, Cabanas, Juja rd, Kariokor Ngara, Ronald Ngala, Thika rd, Thika",ALDANA SUPREME SERVICES LIMITED
NTSA/RSN-01901,Aldana Supreme,,,True,"Nairobi - Thika,Muranga,Sagana,Nyeri - Naivasha via Nyahururu and back",ALDANA SUPREME SERVICES LIMITED
NTSA/RSN-0023,Aldana,NTR-00202003241145200,,False,"Ronald ngala, Juja rdDandoraKariobangiAlsops Thika rd, Thika",ALDANA TRAVELLERS SACCO
NTSA/RSN-0023,Aldana,NTR-00418,,True,"Ronald Ngala, Ngara Juja Rd Outering Rd Kangundo Rd Dandora Kariobangi Asops Thika Rd Thika, Nyeri",ALDANA TRAVELLERS SACCO
NTSA/RSN-0023,Aldana,NTR-00337,,False,"ronald ngara, juja road, dandora",ALDANA TRAVELLERS SACCO
NTSA/RSN-0023,Aldana,NTR-00360,,False,"dandora, kariobangi, alsolps",ALDANA TRAVELLERS SACCO
