pto_no,sacco,permit_id,primary_route,all_matches,confidence,score,reasons,route_text
NTSA/RSN-0004,2B,NTR-00539,,,UNMATCHED,0,Insufficient keyword overlap,"kikuyu, dagoreti, gikambura"
NTSA/RSN-0004,2B,NTR-00201912130944110,,,UNMATCHED,0,Insufficient keyword overlap,"Kikuyu, GikamburaKamanguMutarakwaLimuruNorthern bypassRuiruThika rd, Thika (MAKONGENI)"
NTSA/RSN-0004,2B,NTR-001144,2,2 (HIGH:74); 102 (MEDIUM:51),HIGH,74,"Base number '2'; 2 waypoints (kawangware, railways); Terminal 'railways'","Railways, Waiyaki way Uthiru kawangware Kikuyu gikambura kamangu mutarakwa limuru northern bypass thika Rd thika, Thika(makongeni)"
NTSA/RSN-0004,2B,NTR-00667,2,2 (HIGH:74); 102 (MEDIUM:51),HIGH,74,"Base number '2'; 2 waypoints (kawangware, railways); Terminal 'railways'","railways, kawangware,dagorretti,kikuyu, gikambura"
NTSA/RSN-0004,2B,NTR-00201901141024040,2,2 (MEDIUM:47),MEDIUM,47,Base number '2'; 1 waypoints (kawangware),"knh, kawangware,dagoreti,kikuyu, gikambura"
NTSA/RSN-0004,2B,NTR-00201901141021120,,,UNMATCHED,0,Insufficient keyword overlap,"knh, dagoreti,kikuyu, limuru"
NTSA/RSN-0004,2B,ADR-YM3SEOK,2,2 (HIGH:74); 102 (MEDIUM:51); 103 (MEDIUM:48),HIGH,74,"Base number '2'; 2 waypoints (railways, dagoretti); Terminal 'railways'","Railways, Karen via bomas kawangwarekabiria dagoretti Kikuyu Muslim gikambura waiyaki way, Uthiru"
NTSA/RSN-0004,2B,ADR-8LMSVDD,2,2 (HIGH:74); 102 (MEDIUM:51),HIGH,74,"Base number '2'; 2 waypoints (kawangware, railways); Terminal 'railways'","railways, kawangware,dagorretti,kikuyu, gikambura"
NTSA/RSN-0004,2B,ADR-ZZJS27K,2,2 (HIGH:86); 102 (MEDIUM:63); 4W (LOW:39),HIGH,86,"Base number '2'; 3 waypoints (kawangware, railways, dagoretti); Terminal 'railways'","railways, dagoretti,kawangware, kikuyu"
NTSA/RSN-0007,2KR,NTR-00202008120851300,105,105 (HIGH:62); 237 (LOW:36),HIGH,62,Exact number '105'; 1 waypoints (kikuyu),"Kikuyu, Wangige Kiambu Ruiru Thika road Juja, Makongeni"
NTSA/RSN-0007,2KR,NTR-00346,,,UNMATCHED,0,Insufficient keyword overlap,"Tommboya, KawangwarekikuyuwestlandsThika RdMakongeniruirukiambuwangige, Limuru"
NTSA/RSN-0007,2KR,NTR-00341,105,105 (HIGH:113); 30 (LOW:39); 23KG (LOW:39),HIGH,113,"Exact number '105'; 4 waypoints (westlands, kikuyu, kinoo); Terminal 'odeon'","odeon, westlands,kinoo, kikuyu"
NTSA/RSN-0007,2KR,ADR-O68ILQB,105,105 (HIGH:113); 30 (LOW:39); 23KG (LOW:39),HIGH,113,"Exact number '105'; 4 waypoints (westlands, kikuyu, kinoo); Terminal 'odeon'","odeon, westlands,kinoo, kikuyu"
NTSA/RSN-0007,2KR,ADR-6DBSD6W,105,105 (HIGH:113); 30 (LOW:39); 106 (LOW:39),HIGH,113,"Exact number '105'; 4 waypoints (westlands, odeon, kinoo); Terminal 'odeon'","odeon, westlands, kinoo, kikuyu, thogoto, kanyariri, mutarakwa, city cabanas"
NTSA/RSN-0007,2KR,ADR-WZ9S3ZE,105,105 (HIGH:101); 115 (LOW:36); 135 (LOW:36),HIGH,101,"Exact number '105'; 3 waypoints (westlands, kinoo, kikuyu); Terminal 'odeon'","tommboya, westlands,kinoo,kikuyu,kamangu, limuru"
NTSA/RSN-0007,2KR,ADR-537HODO,105,105 (HIGH:113); 30 (LOW:39); 23KG (LOW:39),HIGH,113,"Exact number '105'; 4 waypoints (westlands, kikuyu, kinoo); Terminal 'odeon'","odeon, kikuyu,westlands, kinoo"
NTSA/RSN-0008,2KW,NTR-00494,,,UNMATCHED,0,Insufficient keyword overlap,"nairobi, limuru, nakuru"
NTSA/RSN-0008,2KW,NTR-00202009011729160,,,UNMATCHED,0,Insufficient keyword overlap,"Wangige Market, Ngecha Nduma Kamangu Gikambura Muguga Zambezi, Kahuho"
NTSA/RSN-0008,2KW,NTR-00201901101111320,,,UNMATCHED,0,Insufficient keyword overlap,"Dagoretti Corner, UthiruWangigeKahawa west KU Hospital Ruiru Limuru, Nakuru"
NTSA/RSN-0008,2KW,NTR-00202107221145140,2,2 (MEDIUM:48); 102 (MEDIUM:48); 103 (MEDIUM:48),MEDIUM,48,"4 waypoints (kawangware, corner, ngong)","suswa, kimuka ngong dagoretti corner kawangware uthiru Kikuyu kamangu thigio ngecha wangige kahawa west via Kiambu KU hospital ruiru limuru, nakuru"
NTSA/RSN-0008,2KW,ADR-9AKFJOA,,,UNMATCHED,0,Insufficient keyword overlap,"wangige, kahawa west KU Hospital, Ruiru"
NTSA/RSN-0008,2KW,ADR-DB3TYQY,,,UNMATCHED,0,Insufficient keyword overlap,"suswa, kimuka ngong dagoretti centre kamangu thigio ngecha wangige kahawa west KU hospital ruiru limuru, nakuru"
NTSA/RSN-0008,2KW,ADR-3ZQSJOA,2,2 (MEDIUM:48); 102 (MEDIUM:48); 103 (MEDIUM:48),MEDIUM,48,"4 waypoints (kawangware, corner, ngong)","suswa, kimuka ngong dagoretti corner kawangware uthiru Kikuyu kamangu thigio ngecha wangige kahawa west KU hospital ruiru limuru, nakuru"
NTSA/RSN-0008,2KW,ADR-JY7SZE7,,,UNMATCHED,0,Insufficient keyword overlap,"bus station, ngong road, kawagware, uthiru, wangige"
NTSA/RSN-0008,2KW,ADR-POKSY77,,,UNMATCHED,0,Insufficient keyword overlap,"bus station, wangige,ngong road, kawagware, uthiru"
NTSA/RSN-0008,2KW,ADR-VYASWZP,103,103 (MEDIUM:48); 3U (LOW:36),MEDIUM,48,"4 waypoints (corner, uthiru, wangige)","dagoretti corner, uthiru,wangige,limuru, nakuru"
NTSA/RSN-01907,61 BUS,NTR-001280,38/39,38/39 (MEDIUM:63); 10 (MEDIUM:51); 33DP (MEDIUM:51),MEDIUM,63,"7 waypoints (ruai, jogoo, kamulu); Terminal 'bus station'","Bus station, Muthurwa gikomba , Jogoo road juja rd outering rd , Kayole kangundo rd , Eastern bypass, Utawala City cabanas ruai, Kamulu"
NTSA/RSN-01907,61 BUS,ADR-K9BFZR3,38/39,38/39 (MEDIUM:63); 10 (MEDIUM:51); 33DP (MEDIUM:51),MEDIUM,63,"4 waypoints (kayole, muthurwa, city); Terminal 'bus station'","Bus station, Muthurwa, Jogoo road, Kayole, Eastern bypass, Utawala, City cabanas"
NTSA/RSN-01907,61 BUS,ADR-7WRSODM,38/39,38/39 (MEDIUM:63); 10 (MEDIUM:51); 33DP (MEDIUM:51),MEDIUM,63,"4 waypoints (kayole, muthurwa, city); Terminal 'bus station'","Bus station, Muthurwa, Jogoo road, Kayole, Eastern bypass, Utawala, City cabanas"
NTSA/RSN-0657,8B,NTR-00202101181143450,28,28 (MEDIUM:51); 14 (MEDIUM:48); 36 (MEDIUM:48),MEDIUM,51,"3 waypoints (gikomba, eastleigh, kariobangi); Terminal 'gikomba'","Fig tree, Thika rd Kariokor Gikomba Juja rd Eastleigh KiambiuJericho Jogoo rd Buruburu Outering rd Donholm(caltex) Cabanas Likoni rd Lungalunga rd Kariobangi south, Kangundo rd"
NTSA/RSN-0657,8B,NTR-00201909131211180,7,7 (LOW:39); 28 (LOW:39); 3N (LOW:39),LOW,39,"2 waypoints (gikomba, kariokor); Terminal 'gikomba'","kariokor, gikomba,eastleigh,jericho,buruburu,outering rd,donholm(caltex), cabanas"
NTSA/RSN-0657,8B,ADR-POKSKYO,7,7 (LOW:39); 28 (LOW:39); 3N (LOW:39),LOW,39,"2 waypoints (gikomba, kariokor); Terminal 'gikomba'","jericho, eastleigh, kariokor, gikomba"
NTSA/RSN-0657,8B,ADR-VYASAWA,7,7 (LOW:39); 28 (LOW:39); 3N (LOW:39),LOW,39,"2 waypoints (gikomba, kariokor); Terminal 'gikomba'","jericho, gikomba,eastleigh section3, kariokor"
NTSA/RSN-0657,8B,ADR-Q5LCL8B,7,7 (LOW:39); 28 (LOW:39); 3N (LOW:39),LOW,39,"2 waypoints (gikomba, kariokor); Terminal 'gikomba'","jericho, gikomba,eastleigh, kariokor"
NTSA/RSN/8384,Akilla,ADR-ZZJSJEL,11,11 (LOW:39); 12C (LOW:39); 12D (LOW:39),LOW,39,"2 waypoints (mombasa, south); Terminal 'bus station'","bus station, mombasa road,south b, south c"
NTSA/RSN-01901,Aldana Supreme,NTR-00202008111559300,,,UNMATCHED,0,Insufficient keyword overlap,"Saika, Dandora Outering road Thika road, Thika"
