pto_no,pto_name,declared_routes,parsed_routes_count
NTSA/RSN-0004,2B TRAVELLERS SACCO LTD,9,9
NTSA/RSN-0007,2KR ROUTE 105 MULTIPURPOSE COOPERATIVE SOCIETY LIMITED,7,7
NTSA/RSN-0008,2KW SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,10,10
NTSA/RSN-01907,61 BUS LIMITED,3,3
NTSA/RSN-0657,8B SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,5,5
NTSA/RSN/8384,AKILLA  TRANSPORTERS  LIMITED,1,1
NTSA/RSN-01901,ALDANA SUPREME SERVICES LIMITED,4,4
NTSA/RSN-0023,ALDANA TRAVELLERS SACCO,9,9
NTSA/RSN-7779,ARBAB VENTURES LIMITED,5,5
NTSA/RSN-0030,BABA DOGO 25 TRAVELLERS SACCO,5,5
NTSA/RSN-0032,BAKAKI 101 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,3,3
NTSA/RSN-0037,BANANA HILL MATATU SACCO LTD,5,5
NTSA/RSN-0039,BENJO( K) LTD,5,5
NTSA/RSN-0050,BURUBURU 58 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,6,6
NTSA/RSN-9870,BYBUSS TRANS LIMITED,8,7
NTSA/RSN-0053,CBET SACCO,9,8
NTSA/RSN-0064,CHANIA TRAVELLERS SACCO,22,22
NTSA/RSN-041811,CHELSEA TRANSPORTERS LIMITED,4,4
NTSA/RSN-5013,CIRCULAR CLASSIC COMPANY LIMITED,9,9
NTSA/RSN-0069,city star shuttle limited,28,28
NTSA/RSN-0070,CITY TRAM SHUTTLE LIMITED,8,8
NTSA/RSN-0079,COMPLIANT MOA,12,12
NTSA/RSN-0081,COSY TRAVEL LIMITED,6,6
NTSA/RSN-0082,COUNTY LINK SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,7,7
NTSA/RSN-0085,DABUMATO COMMUTER SERVICE SAVINGS & CREDIT CO-OPERATIVE SOCIETY LTD,4,4
NTSA/RSN-01723,DAKABO SACCO LIMITED,2,2
NTSA/RSN-0087,DAKIKA MATATU OWNERS SACCO,8,8
NTSA/RSN-0088,DANDORA USAFIRI TRAVELLERS SACCO,17,17
NTSA/RSN-6534,DIGITAL LUXURY TRAVELLERS LIMITED,5,5
NTSA/RSN-0092,DIX-HULT MATATU OWNER SACCO,4,4
NTSA/RSN/9253,DOMANN ENTERPRISES,3,3
NTSA/RSN-01859,DREPEJA ROUTE LIMITED,4,4
NTSA/RSN-02051,EASTERN BYPASS SAFARIS LTD,1,1
NTSA/RSN-0095,EASTERN BYPASS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,19,19
NTSA/RSN-0096,eastern bypass traverlers investment co. limited,27,27
NTSA/RSN-2808,EASTERN KUBAMBA LIMITED,11,11
NTSA/RSN-0097,EASTLANDS EAGLES LIMITED,6,6
NTSA/RSN-0098,EASTLEIGH COMMUTER SERVICES LIMITED,5,5
NTSA/RSN-0099,EASTLEIGH ROUTE SACCO,4,4
NTSA/RSN-0102,ECOSA TRAVELLERS SACCO,12,12
NTSA/RSN-0113,ELEVENTH HOUR TRANSPORT SACCO,5,5
NTSA/RSN-0151,EMAAR CITY BUS LIMITED,11,11
NTSA/RSN-0115,EMBASSAVA COOPERATIVE SAVINGS AND CREDIT SOCIETY LTD,23,23
NTSA/RSN-01756,EXPRESO LIMITED,17,17
NTSA/RSN-0122,EXPRESS CONNECTIONS LTD,14,14
NTSA/RSN-0127,FASTRACK UNITED AND CREDIT COOPERATIVE SOCIETY,3,3
NTSA/RSN-0129,FIG KOMBA,6,6
NTSA/RSN-7695,FIG PRESTIGE MANAGEMENT COMPANY LIMITED,4,4
NTSA/RSN-01899,FIVE FRIENDS INVESTMENT COMPANY LIMITED,6,6
NTSA/RSN-0134,FORWARD TRAVELLERS SACCO LTD,40,40
NTSA/RSN-0136,FOURTY FOUR OWNERS COMPANY LIMITED,9,9
NTSA/RSN-8282,GARAMU TRAVEL SOLUTIONS LIMITED,4,4
NTSA/RSN-0146,GATANGA SHUTTLE LIMITED,6,6
NTSA/RSN-0147,GATANGA TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,5,5
NTSA/RSN-0148,GATHIMA TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY.,4,3
NTSA/RSN-7402,GEOBEAT MAOKA TRAVELLERS LIMITED,6,6
NTSA/RSN-01728,GIKAKI SACCO SOCIETY LIMITED,5,5
NTSA/RSN/8047,GIKAKURU TRAVELLERS SACCO,2,2
NTSA/RSN-1626,GIKIMWI BYPASS TRANSPORTERS SACCO,3,3
NTSA/RSN-0152,GINYALI COOPERATIVE SAVINGS & CREDIT SOCIETY LTD,8,8
NTSA/RSN-0153,GITHIGA TRAVELLERS SACCO,10,10
NTSA/RSN-0154,GITHURAI 45 SACCO,9,9
NTSA/RSN-1824,GIWA SAVINGS AND CREDIT COOPERATIVE SOCIETY LIMITED,2,2
NTSA/RSN-8143,GMK SACCO LIMITED,5,5
NTSA/RSN-02023,GUCHA EXPRESS LIMITED,2,2
NTSA/RSN-02052,HANNOVER SWIFT TRANS LIMITED,4,4
NTSA/RSN-0165,HIGHRISE KIBERA SACCO,3,3
NTSA/RSN-0166,HIGHWAY TRAVELLERS LIMITED,2,2
NTSA/RSN-0169,HOME SACCO LIMITED,8,8
NTSA/RSN-0172,HURUMA MINI-BUS SACCO LTD,4,4
NTSA/RSN-0174,Inagi Travellers Sacco,4,4
NTSA/RSN-0176,INDIMA (NJE) SACCO,17,17
NTSA/RSN-01742,INDO STAR SACCO,4,4
NTSA/RSN-5041,INTEGRITY INTERCITY LIMITED,3,3
NTSA/RSN-0177,INTER COUNTIES TRAVELLERS SACCO,3,3
NTSA/RSN-0715,INTER-COUNTY TRAVELLERS SACCO,2,2
NTSA/RSN-0181,ISKA INVESTMENTS COMPANY LTD.,5,5
NTSA/RSN-0183,ITHANGA TRAVELLERS SACCO,2,2
NTSA/RSN-0184,JESMAT TRAVELLERS CO-OPRATIVE,5,5
NTSA/RSN-0185,JONSAGA FLATS SACCO,9,9
NTSA/RSN-2074,JUJA ATHI TRAVELLERS SACCO.,3,3
NTSA/RSN/6973,JUPITERLINE INVESTMENTS CAPITAL LIMITED,3,3
NTSA/RSN-01730,KADANA TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,6,6
