pto_no,pto_name,permit_id,is_intercity,route_text
NTSA/RSN-0004,2B TRAVELLERS SACCO LTD,NTR-00539,False,"kikuyu, dagoreti, gikambura"
NTSA/RSN-0004,2B TRAVELLERS SACCO LTD,NTR-00201912130944110,False,"Kikuyu, GikamburaKamanguMutarakwaLimuruNorthern bypassRuiruThika rd, Thika (MAKONGENI)"
NTSA/RSN-0004,2B TRAVELLERS SACCO LTD,NTR-001144,False,"Railways, Waiyaki way Uthiru kawangware Kikuyu gikambura kamangu mutarakwa limuru northern bypass thika Rd thika, Thika(makongeni)"
NTSA/RSN-0004,2B TRAVELLERS SACCO LTD,NTR-00667,False,"railways, kawangware,dagorretti,kikuyu, gikambura"
NTSA/RSN-0004,2B TRAVELLERS SACCO LTD,NTR-00201901141024040,False,"knh, kawangware,dagoreti,kikuyu, gikambura"
NTSA/RSN-0004,2B TRAVELLERS SACCO LTD,NTR-00201901141021120,False,"knh, dagoreti,kikuyu, limuru"
NTSA/RSN-0004,2B TRAVELLERS SACCO LTD,ADR-YM3SEOK,False,"Railways, Karen via bomas kawangwarekabiria dagoretti Kikuyu Muslim gikambura waiyaki way, Uthiru"
NTSA/RSN-0004,2B TRAVELLERS SACCO LTD,ADR-8LMSVDD,False,"railways, kawangware,dagorretti,kikuyu, gikambura"
NTSA/RSN-0004,2B TRAVELLERS SACCO LTD,ADR-ZZJS27K,False,"railways, dagoretti,kawangware, kikuyu"
NTSA/RSN-0007,2KR ROUTE 105 MULTIPURPOSE COOPERATIVE SOCIETY LIMITED,NTR-00202008120851300,False,"Kikuyu, Wangige Kiambu Ruiru Thika road Juja, Makongeni"
NTSA/RSN-0007,2KR ROUTE 105 MULTIPURPOSE COOPERATIVE SOCIETY LIMITED,NTR-00346,False,"Tommboya, KawangwarekikuyuwestlandsThika RdMakongeniruirukiambuwangige, Limuru"
NTSA/RSN-0007,2KR ROUTE 105 MULTIPURPOSE COOPERATIVE SOCIETY LIMITED,NTR-00341,False,"odeon, westlands,kinoo, kikuyu"
NTSA/RSN-0007,2KR ROUTE 105 MULTIPURPOSE COOPERATIVE SOCIETY LIMITED,ADR-O68ILQB,False,"odeon, westlands,kinoo, kikuyu"
