route_number,description,corridor,status,permit_hits,saccos_mapped,terminals_identified
1,Karen-Karinde-Dagoretti Market,,UNMAPPED,0,,
2,Railways-Ngong Road-Kawangware-Dagoretti Market,ngong_road,MAPPED,58,2B; Garamu Travel Solutions; Pakin Alicia Society; Unified International; Expreso; Kadana; Kibera Bureti; Nangkis Matatu; RAJ Safaris; 2KW; Dakika; KBS; Kibera; Kiragi; MAT TWO Friends; Wakimali CO; Fastrack United AND Credit; Karuri Commuters Services Savings AND Credit Co-opertaive Society; Killeton Commuters Services Savings AND Credit Cooperative; Lira Line Society; Lothian Transporters; Matatu Crew Association; Ngokana; Pals Matatu; Rasasi; Serian; Snowball Society,Bus Station; Fig Tree; Gikomba; Kencom; Knh; Koja; Muthurwa; Odeon; Railways
5,Town-Kenyatta-Adams-Jamhuri,ngong_road,MAPPED,9,City Star Shuttle; KBS; Lothian Transporters; Luminous Shuttles; Risen Company; St. Marys Transport Society,Bus Station; Commercial; Kencom; Knh; Odeon; Otc; Railways
6,Koja-Pangani Flyover-Guru Nanak-Pangani Girls High School-Mlango-Eastleigh,,UNMAPPED,0,,
7,Town-Kariokor DC-Gikomba,,UNMAPPED,0,,
8,Railways-Ngong Road-Kibera,ngong_road,MAPPED,12,Kibera Bureti; Kibera; Kiragi; RAJ Safaris; Garamu Travel Solutions; Ngong; Serian; Snowball Society,Gikomba; Kencom; Knh; Odeon; Railways
10,Muthurwa-Makadara-Maringo,kangundo_road,MAPPED,23,Geobeat Maoka; 61 BUS; Eastern Bypass; Kani Transport; MNK Society; Benjo( K); Dandora Usafiri; Kibera Bureti; Ngumo-line; Outer Circle; Pejo Tech Company; Pinpoint Solution (k); Southleigh S; Stahito Commuter Services CO; Umoja Innercore Tena,Bus Station; Commercial; Fig Tree; Gikomba; Knh; Muthurwa; Otc; Railways
11,Bus Station-Industrial Area-South B-Hazina,,MAPPED,35,Indima (nje); Risen Company; Telaviv; Nakamata; Stahito Commuter Services CO; Arbab Ventures; KAM Transporters; South B Society; County Link; Eastern Bypass Traverlers Investment CO,Bus Station; Commercial; Gikomba; Kencom; Knh; Muthurwa; Odeon; Otc; Railways
14,Ronald Ngala-Juja Road-Eastleigh-Huruma-Kariobangi,,MAPPED,50,Kariobangi; Neema Agency; Ecosa; Jonsaga Flats; Risen Company; Aldana; Dandora Usafiri; Eastern Bypass Traverlers Investment CO; Five Friends Investment Company; Pejo Tech Company; QUE Services; Salty Bizada Investment; Ummoinner Class; 8B; Aldana Supreme; FIG Prestige Management Company; Githurai 45; Jesmat Co-oprative; Madiwa; Nicco Movers,Bus Station; Commercial; Fig Tree; Gikomba; Kencom; Knh; Muthurwa; Odeon; Otc
15,Bus Station-Nyayo Stadium-Wilson-Langata,langata_road,MAPPED,3,Rasasi; Risen Company; Tawala Shuttle,Bus Station; Commercial; Kencom; Knh; Odeon; Otc
16,Bus Station-Nyayo Stadium-T Mall-Highrise,langata_road,MAPPED,2,KBS; Rasasi,Bus Station
20,Mama Lucy Hospital-Kayole-Njiru-Mwiki,,UNMAPPED,0,,
24,Ambassadeur-Nyayo Stadium-Bomas-Hardy-Karen,ngong_road,MAPPED,48,KBS; City Star Shuttle; Express Connections; Unified International; Rasasi; Super Metro; Expreso; Lothian Transporters; Luminous Shuttles; Nangkis Matatu; Ngong; Wanjo Patrames Travel Company; Kibera Bureti; Kiragi; Lankana Society; Ngokana; Risen Company; St. Marys Transport Society; Wakimali CO,Bus Station; Commercial; Fig Tree; Gikomba; Kencom; Knh; Muthurwa; Odeon; Otc; Railways
25,Odeon-Pangani-Alssops-Baba Dogo,thika_road,MAPPED,9,Baba Dogo 25; Lopha,Fig Tree; Gikomba; Odeon
26,Makadara-Harambee-Outering-Kariobangi,,MAPPED,2,Drepeja Route,Otc
28,Gikomba-Eastleigh-Huruma-Kariobangi,,MAPPED,8,Neema Agency; 8B; FIG Prestige Management Company; Jesmat Co-oprative; Madiwa,Commercial; Fig Tree; Gikomba; Muthurwa; Otc
30,Odeon-Westlands-Kangemi-Uthiru,,MAPPED,23,Kangemi; Killeton Commuters Services Savings AND Credit Cooperative; Latema Sacco; Cosy Travel; Lopha; Starbus Company (k); Digital Luxury,Bus Station; Fig Tree; Knh; Odeon; Railways
36,City Stadium-Buruburu-Kwa Mbao-Dandora,kangundo_road,MAPPED,36,Risen Company; Dandora Usafiri; Eastlands Eagles; Dabumato; Geobeat Maoka; Drepeja Route; Ecosa; MNK Society; 8B; Benjo( K); Eastern Bypass; KBS; Pejo Tech Company; Sowetamu,Bus Station; Commercial; Fig Tree; Gikomba; Kencom; Knh; Muthurwa; Odeon; Otc; Railways
