via_point,mentions,sacco_count,num_corridors,corridors_touched,sample_saccos,example_via_raw,example_permit,VERDICT
nairobi,187,51,2,kiambu_road thika_road,NAKWE TRAVELLERS SACCO SOCIETY LTD | SAFELINE MATATU SOCCO SOCIETY LIMITED | 2KW SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,"nairobi, limuru, nakuru",2KW SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD / NTR-00494,
kikuyu,133,25,2,kiambu_road thika_road,SAFELINE MATATU SOCCO SOCIETY LIMITED | WAKIMALI TRAVELLERS CO. LIMITED | KANGEMI MATATU OWNERS SACCO,"kikuyu, dagoreti, gikambura",2B TRAVELLERS SACCO LTD / NTR-00539,
kiserian,131,26,2,kiambu_road thika_road,WAKIMALI TRAVELLERS CO. LIMITED | ST. MARYS TRANSPORT SACCO SOCIETY | COMPLIANT MOA,"Kiserian, Ngong Dagoretti Wangige Khoja Thika Gatuanyaga Ruiru Kiambu, Limuru .",BYBUSS TRANS LIMITED / NTR-00202009081636350,
thika,117,43,2,kiambu_road thika_road,RUKAGINA 44 SACCO | GIKAKURU TRAVELLERS SACCO | KANGEMI MATATU OWNERS SACCO,"Saika, Dandora Outering road Thika road, Thika",ALDANA SUPREME SERVICES LIMITED / NTR-00202008111559300,
machakos,109,26,2,kiambu_road thika_road,SOUTH B MATATU OWNERS SACCO SOCIETY LTD | TELAVIV TRAVELLERS LIMITED | SOWETAMU TRAVELLERS SACCO,"South c, iindustrial arealikoni rdjogoo rdeastleighoutering rd mombasa rd, machakos",ARBAB VENTURES LIMITED / NTR-00201905131607200,
thika road,102,41,2,kiambu_road thika_road,NAKATHI TRAVELLERS SACCO LIMITED | NEEMA TRAVELLERS AGENCY LIMITED | HOME SACCO LIMITED,"odeon, thika road, babadogo",BABA DOGO 25 TRAVELLERS SACCO / ADR-MDMSAEM,
limuru,88,31,2,kiambu_road thika_road,SAFELINE MATATU SOCCO SOCIETY LIMITED | 2KW SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD | WAKIMALI TRAVELLERS CO. LIMITED,"knh, dagoreti,kikuyu, limuru",2B TRAVELLERS SACCO LTD / NTR-00201901141021120,
kawangware,83,23,2,kiambu_road thika_road,WELKAN TRAVELLERS SERVICES LIMITED | STARBUS COMPANY (K) LTD | PALS MATATU SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,"railways, kawangware,dagorretti,kikuyu, gikambura",2B TRAVELLERS SACCO LTD / NTR-00667,
kayole,69,9,2,kiambu_road thika_road,FIVE FRIENDS INVESTMENT COMPANY LIMITED | kayo-line group company limited | MNK SACCO SOCIETY LTD,"Bus station, Muthurwa, Jogoo road, Kayole, Eastern bypass, Utawala, City cabanas",61 BUS LIMITED / ADR-K9BFZR3,
muthurwa,68,21,2,kiambu_road thika_road,BURUBURU 58 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED | KANI TRANSPORT SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED | STAHITO  COMMUTER  SERVICES CO. LIMITED,"Bus station, Muthurwa, Jogoo road, Kayole, Eastern bypass, Utawala, City cabanas",61 BUS LIMITED / ADR-K9BFZR3,
