sacco,permit_no,via_raw,via_points
2B TRAVELLERS SACCO LTD,NTR-00539,"kikuyu, dagoreti, gikambura",kikuyu|dagoreti|gikambura
2B TRAVELLERS SACCO LTD,NTR-00201912130944110,"Kikuyu, GikamburaKamanguMutarakwaLimuruNorthern bypassRuiruThika rd, Thika (MAKONGENI)",kikuyu|gikamburakamangumutarakwalimurunorthern bypassruiruthika rd|thika makongeni
2B TRAVELLERS SACCO LTD,NTR-001144,"Railways, Waiyaki way Uthiru kawangware Kikuyu gikambura kamangu mutarakwa limuru northern bypass thika Rd thika, Thika(makongeni)",railways|waiyaki way uthiru kawangware kikuyu gikambura kamangu mutarakwa limuru northern bypass thika rd thika|thika makongeni
2B TRAVELLERS SACCO LTD,NTR-00667,"railways, kawangware,dagorretti,kikuyu, gikambura",railways|kawangware|dagorretti|kikuyu|gikambura
2B TRAVELLERS SACCO LTD,NTR-00201901141024040,"knh, kawangware,dagoreti,kikuyu, gikambura",knh|kawangware|dagoreti|kikuyu|gikambura
2B TRAVELLERS SACCO LTD,NTR-00201901141021120,"knh, dagoreti,kikuyu, limuru",knh|dagoreti|kikuyu|limuru
2B TRAVELLERS SACCO LTD,ADR-YM3SEOK,"Railways, Karen via bomas kawangwarekabiria dagoretti Kikuyu Muslim gikambura waiyaki way, Uthiru",railways|karen via bomas kawangwarekabiria dagoretti kikuyu muslim gikambura waiyaki way|uthiru
2B TRAVELLERS SACCO LTD,ADR-8LMSVDD,"railways, kawangware,dagorretti,kikuyu, gikambura",railways|kawangware|dagorretti|kikuyu|gikambura
2B TRAVELLERS SACCO LTD,ADR-ZZJS27K,"railways, dagoretti,kawangware, kikuyu",railways|dagoretti|kawangware|kikuyu
2KR ROUTE 105 MULTIPURPOSE COOPERATIVE SOCIETY LIMITED,NTR-00202008120851300,"Kikuyu, Wangige Kiambu Ruiru Thika road Juja, Makongeni",kikuyu|wangige kiambu ruiru thika road juja|makongeni
2KR ROUTE 105 MULTIPURPOSE COOPERATIVE SOCIETY LIMITED,NTR-00346,"Tommboya, KawangwarekikuyuwestlandsThika RdMakongeniruirukiambuwangige, Limuru",tommboya|kawangwarekikuyuwestlandsthika rdmakongeniruirukiambuwangige|limuru
2KR ROUTE 105 MULTIPURPOSE COOPERATIVE SOCIETY LIMITED,NTR-00341,"odeon, westlands,kinoo, kikuyu",odeon|westlands|kinoo|kikuyu
2KR ROUTE 105 MULTIPURPOSE COOPERATIVE SOCIETY LIMITED,ADR-O68ILQB,"odeon, westlands,kinoo, kikuyu",odeon|westlands|kinoo|kikuyu
2KR ROUTE 105 MULTIPURPOSE COOPERATIVE SOCIETY LIMITED,ADR-6DBSD6W,"odeon, westlands, kinoo, kikuyu, thogoto, kanyariri, mutarakwa, city cabanas",odeon|westlands|kinoo|kikuyu|thogoto|kanyariri|mutarakwa|city cabanas
2KR ROUTE 105 MULTIPURPOSE COOPERATIVE SOCIETY LIMITED,ADR-WZ9S3ZE,"tommboya, westlands,kinoo,kikuyu,kamangu, limuru",tommboya|westlands|kinoo|kikuyu|kamangu|limuru
2KR ROUTE 105 MULTIPURPOSE COOPERATIVE SOCIETY LIMITED,ADR-537HODO,"odeon, kikuyu,westlands, kinoo",odeon|kikuyu|westlands|kinoo
2KW SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,NTR-00494,"nairobi, limuru, nakuru",nairobi|limuru|nakuru
