sacco,registry_name,route,corridor,from_terminus,to_terminus,coverage,hits_of_total,via_raw,confidence,VERDICT
KBS,KENYA BUS SERVICE MANAGEMENT LIMITED,44G,thika_road,Main Stage,Main Stage,1.00,3/3,"Bus station, Mombasa roadLusaka road Industrial AreaKwa Njenga Outering rd Kangundo rd Ruai, Kamulu",high,
KBS,KENYA BUS SERVICE MANAGEMENT LIMITED,119,,Koja,Wangige Health Centre,1.00,3/3,"kikuyu, kawangware ngong rd yaya KNH ambassador langata rd lusaka rd jogoo rd JKIA utawala mombasa rd athi river kitengela, kajiado",high,
KBS,KENYA BUS SERVICE MANAGEMENT LIMITED,145,thika_road,Main Stage,Ruiru,1.00,3/3,"kikuyu, kawangware ngong rd yaya KNH ambassador langata rd lusaka rd jogoo rd JKIA utawala mombasa rd athi river kitengela, kajiado",high,
KBS,KENYA BUS SERVICE MANAGEMENT LIMITED,237,thika_road,Townterminal,Thika Town,1.00,3/3,"kikuyu, kawangware ngong rd yaya KNH ambassador langata rd lusaka rd jogoo rd JKIA utawala mombasa rd athi river kitengela, kajiado",high,
KBS,KENYA BUS SERVICE MANAGEMENT LIMITED,45K,thika_road,Main Stage,KU,1.00,3/3,"kikuyu, kawangware ngong rd yaya KNH ambassador langata rd lusaka rd jogoo rd JKIA utawala mombasa rd athi river kitengela, kajiado",high,
KBS,KENYA BUS SERVICE MANAGEMENT LIMITED,11,,Bus Station,South B Mwisho,1.00,3/3,"Bus Station, city stadium lusaka rd enterprise rd likoni rd jogoo rd kangundo rd via eastern bypass mombasa rd langata rd kungu karumba rd ngong rd karen dagoretti yaya centre limuru rd, Ruaka",high,
Super Metro,SUPER METRO LIMITED,237,thika_road,Townterminal,Thika Town,1.00,3/3,"kikuyu, kawangware kenyatta ambasdour tom mboya thika road kasarani, juja",high,
Super Metro,SUPER METRO LIMITED,53,,Roasters,Maruirui,0.67,2/3,"Ruiru, RuakaWangigeKikuyuWaiyakiwayWestlandsMoi avenueTomboyaThika rdKasaraniJujaThika, Thika-Makongeni",medium,
Super Metro,SUPER METRO LIMITED,102,,Railways,Kikuyu,0.67,2/3,"Ruiru, RuakaWangigeKikuyuWaiyakiwayWestlandsMoi avenueTomboyaThika rdKasaraniJujaThika, Thika-Makongeni",medium,
Super Metro,SUPER METRO LIMITED,48K,,Westlands,Co-Op Bank,0.67,2/3,"Ruiru, RuakaWangigeKikuyuWaiyakiwayWestlandsMoi avenueTomboyaThika rdKasaraniJujaThika, Thika-Makongeni",medium,
Super Metro,SUPER METRO LIMITED,3560_2,,Umoja Stage,Umoja 2 Terminus,0.67,2/3,"Ruiru, RuakaWangigeKikuyuWaiyakiwayWestlandsMoi avenueTomboyaThika rdKasaraniJujaThika, Thika-Makongeni",medium,
Super Metro,SUPER METRO LIMITED,145,thika_road,Main Stage,Ruiru,0.67,2/3,"Ruiru, RuakaWangigeKikuyuWaiyakiwayWestlandsMoi avenueTomboyaThika rdKasaraniJujaThika, Thika-Makongeni",medium,
Forward Travellers,FORWARD TRAVELLERS SACCO LTD,43,thika_road,Bus Station,Ngumba Terminal,1.00,3/3,"Kayole, Gikombe Alsops Mihango, Cabanas",high,
Forward Travellers,FORWARD TRAVELLERS SACCO LTD,49,thika_road,Odeon Terminals,Sunton,1.00,3/3,"Kayole, Gikombe Alsops Mihango, Cabanas",high,
Forward Travellers,FORWARD TRAVELLERS SACCO LTD,145,thika_road,Main Stage,Ruiru,1.00,3/3,"Kayole, Gikombe Alsops Mihango, Cabanas",high,
Forward Travellers,FORWARD TRAVELLERS SACCO LTD,17B,thika_road,Bus Station,Mwiki,1.00,3/3,"Kayole, Gikombe Alsops Mihango, Cabanas",high,
