route,corridor,from_terminus,to_terminus,sacco,permit_no,coverage,hits_of_total,via_raw,confidence,VERDICT
1,,Karen Dispensary,Dagoretti Market,DAKABO SACCO LIMITED,ADR-2DVS88Q,0.67,2/3,"dagoretti market, karen, bomas",medium,
1,,Karen Dispensary,Dagoretti Market,DAKABO SACCO LIMITED,ADR-EPJSLLM,0.50,2/4,"bomas, karen, kabiria, dagoretti market",low,
2,,Railways,Dagoretti Market Mwisho,KIBERA BURETI SACCO,ADR-MDMSKW8,1.00,3/3,"railways, kibera, ngong road",high,
2,,Railways,Dagoretti Market Mwisho,KIBERA BURETI SACCO,ADR-ZZJS9OP,1.00,3/3,"railways, ngong road, kibera",high,
2,,Railways,Dagoretti Market Mwisho,KIBERA MATATU OWNERS COOPERATIVE SAVINGS AND CREDIT SOCIETY LIMITED,ADR-EPJSA7P,1.00,3/3,"railways, ngong road, kibera",high,
2,,Railways,Dagoretti Market Mwisho,KIBERA MATATU OWNERS COOPERATIVE SAVINGS AND CREDIT SOCIETY LIMITED,ADR-7WRS7R8,1.00,3/3,"railways, kibera, ngong road",high,
2,,Railways,Dagoretti Market Mwisho,KIRAGI TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-WZ9S3Q6,1.00,3/3,"railways, kibera, ngong road",high,
5,,Kencom,Togo Apartments,RWAKEN INVESTMENTS LIMITED,NTR-00948,0.67,2/3,"nairobi, within, nairobi",medium,
6,,Koja,Eastleigh Terminal,,,,,,unknown,
7,,Luthuli Avenue,Gikomba,,,,,,unknown,
8,,Railways,Equity Ayani,KIBERA BURETI SACCO,NTR-00260,0.67,2/3,"Railways, KNH Yaya City stadium Ngara Muthurwa St Marys Kinoo Kikuyu Karen Lenana Racecourse Kawangware Westlands, Kibera",medium,
8,,Railways,Equity Ayani,KIBERA BURETI SACCO,ADR-BQ9S7KD,0.67,2/3,"railways, knh, kibera",medium,
8,,Railways,Equity Ayani,KIBERA BURETI SACCO,ADR-MDMSKW8,0.67,2/3,"railways, kibera, ngong road",medium,
8,,Railways,Equity Ayani,KIBERA BURETI SACCO,ADR-YM3SVZM,0.67,2/3,"railways, kibera, knh",medium,
8,,Railways,Equity Ayani,KIBERA BURETI SACCO,ADR-ZZJS9OP,0.67,2/3,"railways, ngong road, kibera",medium,
10,,Muthurwa,Mwisho,EMBASSAVA COOPERATIVE SAVINGS AND CREDIT SOCIETY LTD,NTR-00259,0.67,2/3,"embakasi, jogoo road, muthurwa",medium,
10,,Muthurwa,Mwisho,EMBASSAVA COOPERATIVE SAVINGS AND CREDIT SOCIETY LTD,NTR-0039,0.67,2/3,"muthurwa, jogoo road, embakasi",medium,
10,,Muthurwa,Mwisho,EMBASSAVA COOPERATIVE SAVINGS AND CREDIT SOCIETY LTD,ADR-537HY73,0.67,2/3,"embakasi, muthurwa, jogoo road",medium,
10,,Muthurwa,Mwisho,PINPOINT SOLUTION (K) LTD,NTR-00439,0.67,2/3,"bus station, jogoo road,kayole, muthurwa",medium,
10,,Muthurwa,Mwisho,PINPOINT SOLUTION (K) LTD,ADR-MDMSJVR,0.67,2/3,"muthurwa, jogoo road, kayole",medium,
11,,Bus Station,South B Mwisho,SOUTH B MATATU OWNERS SACCO SOCIETY LTD,NTR-00201910291437530,1.00,4/4,"Bus station, South b,Hazina,Mombasa rd, Machakos",high,
11,,Bus Station,South B Mwisho,TELAVIV TRAVELLERS LIMITED,ADR-REOSRMR,1.00,4/4,"bus station, mombasa road, south c, south b, hazina",high,
11,,Bus Station,South B Mwisho,TELAVIV TRAVELLERS LIMITED,ADR-8LMSEPZ,1.00,4/4,"bus station, hazina,mombasa road, south c, south b",high,
11,,Bus Station,South B Mwisho,SINGLE LINE SERVICES LIMITED,ADR-VYASPYM,1.00,2/2,"bus station, south b, hazina",medium,
11,,Bus Station,South B Mwisho,SOUTH B MATATU OWNERS SACCO SOCIETY LTD,ADR-EPJSY5D,1.00,2/2,"bus station, hazina, south b",medium,
14,,Terminal Otc,Kariobangi Terminal,HURUMA MINI-BUS SACCO LTD,ADR-REOSZB2,0.50,2/4,"huruma, pangani,kariokor, tusker",low,
15,,Bus Station,Terminal,RWAKEN INVESTMENTS LIMITED,NTR-00948,0.67,2/3,"nairobi, within, nairobi",medium,
15,,Bus Station,Terminal,WEST MADARAKA ROUTE 14 COOPERATIVE SACCO.,ADR-REOSZ5E,0.67,2/3,"bus station, madaraka estate,west madaraka, langata rd",medium,
15,,Bus Station,Terminal,CHANIA TRAVELLERS SACCO,ADR-Q5LCLAM,0.50,2/4,"nairobi, thika, flyover, nakuru",low,
16,,Bus Station,Highrise,RWAKEN INVESTMENTS LIMITED,NTR-00948,0.67,2/3,"nairobi, within, nairobi",medium,
16,,Bus Station,Highrise,WEST MADARAKA ROUTE 14 COOPERATIVE SACCO.,ADR-REOSZ5E,0.67,2/3,"bus station, madaraka estate,west madaraka, langata rd",medium,
16,,Bus Station,Highrise,CHANIA TRAVELLERS SACCO,ADR-Q5LCLAM,0.50,2/4,"nairobi, thika, flyover, nakuru",low,
16,,Bus Station,Highrise,HIGHRISE KIBERA SACCO,ADR-9AKFJ77,0.50,2/4,"bus station, nyayo, highrise, knh, kibera",low,
16,,Bus Station,Highrise,HIGHRISE KIBERA SACCO,ADR-DB3TYAM,0.50,2/4,"bus station, kibera,nyayo, highrise, knh",low,
