route,corridor,from_terminus,to_terminus,sacco,permit_no,coverage,hits_of_total,via_raw,confidence,VERDICT
1,,Karen Dispensary,Dagoretti Market,DAKABO SACCO LIMITED,ADR-2DVS88Q,0.67,2/3,"dagoretti market, karen, bomas",medium,
1,,Karen Dispensary,Dagoretti Market,DAKABO SACCO LIMITED,ADR-EPJSLLM,0.50,2/4,"bomas, karen, kabiria, dagoretti market",low,
2,,Railways,Dagoretti Market Mwisho,KIBERA BURETI SACCO,ADR-MDMSKW8,1.00,3/3,"railways, kibera, ngong road",high,
2,,Railways,Dagoretti Market Mwisho,KIBERA BURETI SACCO,ADR-ZZJS9OP,1.00,3/3,"railways, ngong road, kibera",high,
2,,Railways,Dagoretti Market Mwisho,KIBERA MATATU OWNERS COOPERATIVE SAVINGS AND CREDIT SOCIETY LIMITED,ADR-EPJSA7P,1.00,3/3,"railways, ngong road, kibera",high,
2,,Railways,Dagoretti Market Mwisho,KIBERA MATATU OWNERS COOPERATIVE SAVINGS AND CREDIT SOCIETY LIMITED,ADR-7WRS7R8,1.00,3/3,"railways, kibera, ngong road",high,
2,,Railways,Dagoretti Market Mwisho,KIRAGI TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-WZ9S3Q6,1.00,3/3,"railways, kibera, ngong road",high,
5,,Kencom,Togo Apartments,2KW SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,NTR-00494,0.67,2/3,"nairobi, limuru, nakuru",medium,
5,,Kencom,Togo Apartments,CHANIA TRAVELLERS SACCO,NTR-00183,0.67,2/3,"nairobi, thika nyeri nyahururu, nakuru",medium,
5,,Kencom,Togo Apartments,CHANIA TRAVELLERS SACCO,ADR-ZZJSZDW,0.67,2/3,"nairobi, nakuru, nyeri",medium,
5,,Kencom,Togo Apartments,eastern bypass traverlers investment co. limited,NTR-00201911140919120,0.67,2/3,"Nairobi, RuaiThikaKamwangiFlyover, Nakuru",medium,
5,,Kencom,Togo Apartments,GATANGA SHUTTLE LIMITED,NTR-00183,0.67,2/3,"nairobi, thika nyeri nyahururu, nakuru",medium,
6,,Koja,Eastleigh Terminal,NABOKA TRAVELLERS SACCO,NTR-00201912031523330,1.00,3/3,"Bus station, BomasKarenGataka, Ongata Rongai",high,
6,,Koja,Eastleigh Terminal,ALDANA TRAVELLERS SACCO,NTR-00418,0.67,2/3,"Ronald Ngala, Ngara Juja Rd Outering Rd Kangundo Rd Dandora Kariobangi Asops Thika Rd Thika, Nyeri",medium,
6,,Koja,Eastleigh Terminal,BAKAKI 101 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-2DVSRWK,0.67,2/3,"Kiambu, BananaRuakaNdenderuWangigeKikuyuRusingitiKamanguThigioMutarakwaLimuru, Tigoni",medium,
6,,Koja,Eastleigh Terminal,BYBUSS TRANS LIMITED,NTR-00202102051433520,0.67,2/3,"Khoja, Ngara Westlands kangemi wangige nyathuna gachie ngecha kabuku ruaka Kikuyu limuru kiambu ruiru Thika(makongeni), muranga",medium,
6,,Koja,Eastleigh Terminal,BYBUSS TRANS LIMITED,ADR-REOSYWM,0.67,2/3,"Khoja, Ngara Westlands kangemi wangige nyathuna gachie ngecha kabuku ruaka Kikuyu limuru kiambu ruiru, Thika(makongeni)",medium,
7,,Luthuli Avenue,Gikomba,,,,,,unknown,
8,,Railways,Equity Ayani,KIBERA BURETI SACCO,NTR-00260,0.67,2/3,"Railways, KNH Yaya City stadium Ngara Muthurwa St Marys Kinoo Kikuyu Karen Lenana Racecourse Kawangware Westlands, Kibera",medium,
8,,Railways,Equity Ayani,KIBERA BURETI SACCO,ADR-BQ9S7KD,0.67,2/3,"railways, knh, kibera",medium,
8,,Railways,Equity Ayani,KIBERA BURETI SACCO,ADR-MDMSKW8,0.67,2/3,"railways, kibera, ngong road",medium,
8,,Railways,Equity Ayani,KIBERA BURETI SACCO,ADR-YM3SVZM,0.67,2/3,"railways, kibera, knh",medium,
8,,Railways,Equity Ayani,KIBERA BURETI SACCO,ADR-ZZJS9OP,0.67,2/3,"railways, ngong road, kibera",medium,
10,,Muthurwa,Mwisho,EMBASSAVA COOPERATIVE SAVINGS AND CREDIT SOCIETY LTD,NTR-00259,0.67,2/3,"embakasi, jogoo road, muthurwa",medium,
10,,Muthurwa,Mwisho,EMBASSAVA COOPERATIVE SAVINGS AND CREDIT SOCIETY LTD,NTR-0039,0.67,2/3,"muthurwa, jogoo road, embakasi",medium,
10,,Muthurwa,Mwisho,EMBASSAVA COOPERATIVE SAVINGS AND CREDIT SOCIETY LTD,ADR-537HY73,0.67,2/3,"embakasi, muthurwa, jogoo road",medium,
10,,Muthurwa,Mwisho,GIKIMWI BYPASS TRANSPORTERS SACCO,NTR-001337,0.67,2/3,"githurai, mumbi, mwihoko",medium,
10,,Muthurwa,Mwisho,LIBERA IMPEX LIMITED,NTR-00202111081143080,0.67,2/3,"cabanas, mombasa rd pipeline outering rd eastern bypass mwihoko tassia link rd kayole juja rd ngara, jogoo rd",medium,
11,,Bus Station,South B Mwisho,SOUTH B MATATU OWNERS SACCO SOCIETY LTD,NTR-00201910291437530,1.00,5/5,"Bus station, South b,Hazina,Mombasa rd, Machakos",high,
11,,Bus Station,South B Mwisho,TELAVIV TRAVELLERS LIMITED,ADR-REOSRMR,1.00,5/5,"bus station, mombasa road, south c, south b, hazina",high,
